timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
20401559,4800,6,0.13347,-0.159339,-9.78608,0.0006253,-0.000799027,-0.0470662,25.9608,78.4532,0.0023942,0.142421,0.12808,0.120909,0.125689,0.13286,-0.171334,-0.176009,-0.171334,-0.159646,-0.157308,-9.80784,-9.81501,-9.81262,-9.80067,-9.79589,966779616,-358,-56,-4344,314,5
20406359,4800,6,0.12964,-0.159163,-9.79775,0.000593748,-0.00074947,-0.0470853,25.9761,78.4532,0.0023942,0.12808,0.123299,0.118519,0.120909,0.12808,-0.159646,-0.161983,-0.157308,-0.147958,-0.143283,-9.8174,-9.82457,-9.80784,-9.7935,-9.79828,966779616,-352,-54,-4345,319,5
20411171,4812,6,0.126195,-0.158828,-9.80456,0.000599009,-0.000787092,-0.047197,25.967,78.4532,0.0023942,0.12808,0.12808,0.120909,0.116128,0.123299,-0.152633,-0.173671,-0.178347,-0.166659,-0.152633,-9.79828,-9.80784,-9.82218,-9.8174,-9.80306,966779616,-356,-52,-4347,316,5
20415182,4011,6,0.125583,-0.160088,-9.80306,0.000524245,-0.000651275,-0.0392405,25.9486,78.4532,0.0023942,0.13286,0.137641,0.13047,0.125689,0.137641,-0.147958,-0.161983,-0.183022,-0.183022,-0.161983,-9.77917,-9.76722,-9.77917,-9.79589,-9.76722,966779616,-369,-53,-4344,310,4
20420759,5577,6,0.129667,-0.163992,-9.7946,0.000749594,-0.000926381,-0.0545935,25.97,78.4532,0.0023942,0.137641,0.149592,0.140031,0.13047,0.123299,-0.173671,-0.157308,-0.150296,-0.161983,-0.168996,-9.79589,-9.77917,-9.772,-9.78634,-9.80306,966779616,-363,-52,-4347,317,5
20425560,4801,6,0.130328,-0.163479,-9.79216,0.000613002,-0.000761783,-0.0470444,25.9792,78.4532,0.0023942,0.120909,0.123299,0.13047,0.13286,0.13047,-0.164321,-0.157308,-0.152633,-0.159646,-0.154971,-9.80784,-9.79589,-9.78395,-9.80067,-9.82218,966779616,-357,-55,-4355,320,5
20430360,4800,6,0.129374,-0.160711,-9.79629,0.000613653,-0.000770639,-0.0470409,25.9731,78.4532,0.0023942,0.123299,0.120909,0.13047,0.137641,0.12808,-0.150296,-0.159646,-0.164321,-0.166659,-0.166659,-9.81262,-9.7935,-9.79112,-9.80067,-9.79828,966779616,-362,-54,-4345,318,5
20434366,4006,6,0.12923,-0.159312,-9.79772,0.00051885,-0.000602999,-0.039251,25.9608,78.4532,0.0023942,0.12808,0.12808,0.13047,0.135251,0.12808,-0.157308,-0.147958,-0.14562,-0.143283,-0.157308,-9.79589,-9.7935,-9.80067,-9.80784,-9.79589,966779616,-352,-57,-4349,314,4
20439167,4801,6,0.133787,-0.15576,-9.7962,0.000700023,-0.000756269,-0.0469763,25.9547,78.4532,0.0023942,0.140031,0.154373,0.151983,0.140031,0.135251,-0.147958,-0.157308,-0.166659,-0.161983,-0.154971,-9.79589,-9.78395,-9.78156,-9.77439,-9.772,966779616,-357,-57,-4334,312,5
20443959,4792,6,0.136743,-0.156013,-9.78524,0.000625184,-0.000754738,-0.046837,25.9517,78.4532,0.0023942,0.140031,0.137641,0.13286,0.113738,0.104177,-0.154971,-0.154971,-0.164321,-0.161983,-0.152633,-9.76244,-9.75288,-9.77439,-9.80545,-9.81023,966779616,-356,-44,-4350,311,5
20449559,5600,6,0.131028,-0.157235,-9.78248,0.000711911,-0.000900223,-0.0548121,25.9639,78.4532,0.0023942,0.108957,0.125689,0.142421,0.144812,0.137641,-0.152633,-0.157308,-0.164321,-0.168996,-0.168996,-9.78634,-9.76483,-9.77439,-9.79589,-9.7935,966779616,-363,-58,-4343,315,5
20453560,4001,6,0.132596,-0.159867,-9.78132,0.000589892,-0.000641558,-0.0391054,25.9761,78.4532,0.0023942,0.135251,0.140031,0.154373,0.161544,0.135251,-0.166659,-0.157308,-0.152633,-0.164321,-0.166659,-9.78156,-9.76722,-9.76483,-9.77678,-9.78156,966779616,-361,-68,-4336,319,4
20458359,4799,6,0.138484,-0.164016,-9.77796,0.000678711,-0.000830643,-0.0469159,25.9731,78.4532,0.0023942,0.147202,0.13047,0.13286,0.144812,0.147202,-0.171334,-0.173671,-0.176009,-0.173671,-0.173671,-9.77917,-9.77439,-9.77439,-9.77678,-9.77678,966779616,-365,-62,-4336,318,5
20463159,4800,6,0.138896,-0.169082,-9.77708,0.000620519,-0.000813052,-0.0469304,25.9608,78.4532,0.0023942,0.142421,0.12808,0.118519,0.123299,0.13286,-0.176009,-0.176009,-0.168996,-0.157308,-0.157308,-9.78395,-9.78634,-9.772,-9.76961,-9.76722,966779616,-358,-56,-4332,314,5
20467209,4050,6,0.136847,-0.169408,-9.77455,0.000558938,-0.000689154,-0.0395776,25.9792,78.4532,0.0023942,0.142421,0.142421,0.135251,0.123299,0.13286,-0.166659,-0.176009,-0.176009,-0.164321,-0.157308,-9.76005,-9.76722,-9.78634,-9.79828,-9.76722,966779616,-361,-52,-4345,320,4
20471959,4750,6,0.133421,-0.165229,-9.77786,0.000616228,-0.000719125,-0.0464825,25.9731,78.4532,0.0023942,0.120909,0.12808,0.137641,0.137641,0.135251,-0.150296,-0.147958,-0.154971,-0.152633,-0.143283,-9.79589,-9.77439,-9.77439,-9.78873,-9.79589,966779616,-352,-57,-4344,318,5
20505559,5589,6,0.148959,-0.146821,-9.78159,0.000653888,-0.00101654,-0.0546135,25.9976,78.4532,0.0023942,0.147202,0.245203,0.21891,0.053981,-0.0201177,-0.201723,-0.0965309,-0.124582,-0.246137,-0.248474,-9.76244,-9.77917,-9.7266,-9.72899,-9.83174,966779616,-397,8,-4359,326,5
20510362,4803,6,0.151477,-0.171134,-9.77474,0.000611145,-0.000970209,-0.0469221,25.9976,78.4532,0.0023942,0.204569,0.376669,0.192617,-0.0511913,-0.0392399,-0.206398,-0.138608,-0.161983,-0.250812,-0.243799,-9.79589,-9.74094,-9.77439,-9.7481,-9.75766,966779616,-395,16,-4328,326,5
20515159,4797,6,0.1466,-0.20204,-9.77127,0.000746218,-0.0010095,-0.0469097,25.9853,78.4532,0.0023942,0.242813,0.367108,0.140031,-0.0440205,-0.0129468,-0.311589,-0.274188,-0.0941933,-0.171334,-0.211073,-9.78395,-9.77678,-9.80545,-9.75288,-9.76961,966779616,-381,5,-4333,322,5
20519959,4800,6,0.137902,-0.200794,-9.78343,0.000732555,-0.000786986,-0.0471283,25.9792,78.4532,0.0023942,0.235642,0.314522,0.120909,-0.0272885,0.00617541,-0.220423,-0.250812,-0.0941933,-0.021728,-0.110556,-9.81262,-9.83174,-9.8413,-9.8174,-9.80067,966779616,-338,-3,-4346,320,5
