timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_rad_s,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
20401559,4800,6,-0.00218192,-8.31814e-05,-2.26234e-06,-1.30096e-05,2.06585e-06,-5.1735e-07,25.9608,34.9066,0.00106422,-0.000759261,-0.00182348,-0.0028877,-0.00395192,-0.00501614,0.00176066,-0.000367779,-0.000367779,0.00069644,-0.000367779,-0.000905948,0.000158272,0.000158272,0.000158272,-0.000905948,536898680,-4,58,-10,314,5
20406359,4800,6,-0.00310041,-2.16945e-05,-0.000216001,-1.81178e-05,2.49154e-06,-3.92288e-06,25.9761,34.9066,0.00106422,-0.00501614,-0.00395192,-0.0028877,-0.0028877,-0.00395192,-0.000367779,-0.000367779,0.00069644,0.00282488,0.00069644,-0.000905948,-0.000905948,-0.000905948,-0.000905948,0.000158272,536871776,-3,57,-9,319,5
20411171,4812,6,-0.00354217,0.000549531,-0.000214147,-1.68754e-05,6.78232e-06,2.05142e-06,25.967,34.9066,0.00106422,-0.00395192,-0.00395192,-0.0028877,-0.0028877,-0.0028877,0.00069644,0.00069644,0.00176066,0.00282488,0.00282488,0.000158272,0.000158272,0.000158272,0.00122249,0.00122249,536898680,-1,56,-8,316,5
20415182,4011,6,-0.00332296,0.00153052,6.13602e-05,-9.46051e-06,1.34526e-05,1.47982e-06,25.9486,34.9066,0.00106422,-0.00182348,-0.00182348,-0.0028877,-0.0028877,0.0,0.0038891,0.0038891,0.00282488,0.00282488,0.0,0.000158272,0.000158272,0.000158272,0.000158272,1.08876e-19,536887672,-1,56,-9,310,4
20420759,5577,6,-0.0028678,0.00215487,0.000207688,-1.09964e-05,7.66628e-06,8.82688e-07,25.97,34.9066,0.00106422,-0.0028877,-0.0028877,-0.00182348,-0.000759261,-0.000759261,0.00282488,0.00176066,-0.000367779,-0.000367779,0.00176066,0.000158272,0.000158272,0.000158272,0.000158272,0.000158272,0,-2,54,-9,317,5
20425560,4801,6,-0.00225367,0.00216441,0.000192519,-1.17359e-05,1.05808e-05,-5.17714e-07,25.9792,34.9066,0.00106422,-0.000759261,-0.0028877,-0.0028877,-0.0028877,-0.00395192,0.0038891,0.00282488,0.00176066,0.00176066,0.00069644,0.000158272,0.000158272,0.000158272,-0.000905948,0.000158272,0,-3,57,-9,320,5
20430360,4800,6,-0.00272736,0.00184334,0.000190497,-2.02473e-05,8.80076e-06,1.63713e-06,25.9731,34.9066,0.00106422,-0.00395192,-0.00395192,-0.00395192,-0.00501614,-0.00501614,-0.000367779,0.00069644,0.00282488,0.0038891,0.0038891,0.00122249,0.000158272,0.000158272,0.000158272,0.000158272,536871776,0,58,-9,318,5
20434366,4006,6,-0.00308882,0.00236227,2.96555e-05,-7.30699e-06,1.64322e-05,-2.77414e-06,25.9608,34.9066,0.00106422,-0.0028877,-0.000759261,-0.000759261,-0.0028877,-0.0028877,0.0038891,0.0038891,0.00495332,0.00282488,0.0038891,-0.000905948,-0.000905948,-0.000905948,0.000158272,-0.000905948,536871776,-1,56,-9,314,4
20439167,4801,6,-0.00336531,0.00276708,7.76923e-05,-2.23909e-05,1.10081e-05,4.59957e-06,25.9547,34.9066,0.00106422,-0.00395192,-0.00501614,-0.00501614,-0.00501614,-0.00501614,0.00176066,0.00176066,0.00282488,0.00282488,0.00176066,0.000158272,0.00122249,0.00122249,0.00122249,0.00122249,0,-2,58,-8,312,5
20443959,4792,6,-0.0040826,0.00301977,0.000561245,-2.19132e-05,1.77937e-05,4.5811e-06,25.9517,34.9066,0.00106422,-0.00501614,-0.00501614,-0.00395192,-0.00395192,-0.00395192,0.00282488,0.00495332,0.0038891,0.0038891,0.0038891,0.00122249,0.00122249,0.00122249,0.000158272,0.000158272,536925168,0,57,-9,311,5
20449559,5600,6,-0.00421428,0.00363469,0.000430407,-2.00332e-05,2.22355e-05,-2.09349e-06,25.9639,34.9066,0.00106422,-0.00395192,-0.00395192,-0.00395192,-0.0028877,-0.0028877,0.00495332,0.00495332,0.0038891,0.0038891,0.00176066,0.000158272,-0.000905948,-0.000905948,-0.000905948,0.000158272,0,-2,56,-9,315,5
20453560,4001,6,-0.00377059,0.00335919,0.000264296,-1.07012e-05,9.59534e-06,3.61305e-06,25.9761,34.9066,0.00106422,-0.00182348,-0.0028877,-0.0028877,-0.0028877,-0.00182348,-0.000367779,0.00176066,0.0038891,0.0038891,1.08875e-19,0.000158272,0.00122249,0.00122249,0.00122249,4.26581e-34,536871776,0,56,-8,319,4
20458359,4799,6,-0.00354487,0.0023244,0.000591848,-2.06675e-05,-2.1896e-06,5.86677e-06,25.9731,34.9066,0.00106422,-0.00395192,-0.00395192,-0.00501614,-0.00501614,-0.0028877,0.00176066,-0.001432,-0.001432,-0.001432,-0.001432,0.00122249,0.00122249,0.00122249,0.00122249,0.00122249,536871776,-5,56,-8,318,5
20463159,4800,6,-0.00313064,0.000847081,0.000715256,-9.60408e-06,3.34291e-06,1.18538e-06,25.9608,34.9066,0.00106422,-0.000759261,-0.000759261,-0.0028877,-0.0028877,-0.0028877,-0.000367779,0.00069644,0.00069644,0.00176066,0.00282488,0.000158272,0.000158272,0.000158272,0.000158272,0.000158272,536887672,-1,56,-9,314,5
20467209,4050,6,-0.00294715,0.000972428,0.000536738,-1.24673e-05,1.09635e-05,1.88706e-07,25.9792,34.9066,0.00106422,-0.00395192,-0.00395192,-0.00182348,-0.000759261,0.0,0.0038891,0.00282488,0.00069644,0.00282488,2.24208e-44,0.000158272,0.000158272,0.000158272,-0.000905948,4.15813e-34,536898680,-1,54,-10,320,4
20471959,4750,6,-0.00203774,0.0022691,-2.46952e-05,-3.18187e-06,2.31489e-05,-4.3032e-06,25.9731,34.9066,0.00106422,0.00136918,0.00136918,-0.00182348,-0.00395192,-0.00395192,0.00601754,0.00601754,0.0038891,0.0038891,0.0038891,-0.000905948,-0.000905948,-0.000905948,-0.000905948,-0.000905948,536887672,0,57,-10,318,5
20505559,5589,6,-0.00344436,-0.00112316,-0.00727447,-1.27163e-05,-4.17222e-06,-1.81953e-05,25.9976,34.9066,0.00106422,-0.00182348,0.000304959,0.00136918,-0.00182348,-0.00501614,-0.001432,-0.000367779,-0.000367779,-0.000367779,-0.000367779,-0.00622705,-0.00409861,-0.000905948,-0.000905948,0.000158272,0,-4,58,-9,326,5
