timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
20393018,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20420064,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20441082,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20470342,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20520237,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20541315,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20560371,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20580334,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20610446,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20630200,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20660260,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20680212,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20700213,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20720780,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20740287,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20770424,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20790711,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20810712,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20840687,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20860386,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20880367,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20900642,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20930558,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20951220,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
20980589,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21000702,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21020613,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21051578,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21070999,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21100980,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21120655,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21141327,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21161038,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21190734,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21211378,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21241634,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21261394,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21281140,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21301048,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21331195,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21351367,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21370952,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21400849,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21421164,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21441997,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21471248,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21490995,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21521321,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21541583,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21561117,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21581224,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21601116,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21621409,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21641922,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21671443,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21691488,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21721423,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21741644,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21761321,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21781451,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
21811357,-0.0,0.0,1.09856,0.0,0.852901,-0.0,0.0,0.522073,0.0,-1.0,1,0,0,0,0,0,0
