timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
20268278,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
20525353,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
20753382,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
20980819,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
21204300,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
21431886,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
21656374,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
21883516,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
22112689,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
22335355,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
22559422,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
22786769,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
23009412,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
23234539,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
23460294,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
23685336,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
23910506,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
24138291,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
24362283,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
24587550,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
24812411,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
25038563,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
25263349,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
25487985,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
25713340,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
25941329,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
26167470,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
26391307,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
26613414,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
26842424,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
27068581,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
27294305,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
27520405,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
27745507,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
27970276,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
28196679,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
28424299,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
28652411,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
28879625,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
29105613,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
29333628,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
29562430,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
29786527,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
30013509,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
30236628,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
30462442,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
30687983,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
30913370,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
31139458,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
31368287,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
31594284,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
31817467,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
32040399,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
32064289,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
32267401,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
32494276,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
32720793,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
32945520,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
33058353,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
33170561,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
33394253,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
33617751,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
33841475,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34066655,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34291595,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34515337,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34738764,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34963728,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35188259,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35414273,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35641400,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35867851,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36089390,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36314274,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36539486,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36763250,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36988307,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
37213324,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
37438913,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
37661476,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
