timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
108731229,108730655,0.391764,-0.132889,-0.0028227,0.0,0.0,0.0,0.0,0.0
108775537,108774676,0.391294,-0.132906,-0.00313741,0.0,0.0,0.0,0.0,0.0
108859389,108858655,0.387791,-0.132761,-0.00302455,0.0,0.0,0.0,0.0,0.0
108879233,108878655,0.394155,-0.132317,-0.00345127,0.0,0.0,0.0,0.0,0.0
108899203,108898687,0.390947,-0.129173,-0.00322646,0.0,0.0,0.0,0.0,0.0
108923248,108922702,0.391558,-0.132537,-0.00317588,0.0,0.0,0.0,0.0,0.0
108943184,108942655,0.386629,-0.132926,-0.0033338,0.0,0.0,0.0,0.0,0.0
108963173,108962657,0.391119,-0.133237,-0.00313568,0.0,0.0,0.0,0.0,0.0
108983762,108982658,0.3936,-0.132847,-0.00327791,0.0,0.0,0.0,0.0,0.0
109007324,109006703,0.390565,-0.132514,-0.00358964,0.0,0.0,0.0,0.0,0.0
109027565,109026655,0.391232,-0.132629,-0.00343673,0.0,0.0,0.0,0.0,0.0
109047212,109046655,0.390537,-0.133009,-0.00362126,0.0,0.0,0.0,0.0,0.0
109067223,109066655,0.386948,-0.132714,-0.00350799,0.0,0.0,0.0,0.0,0.0
109087257,109086655,0.391409,-0.133078,-0.00348146,0.0,0.0,0.0,0.0,0.0
109111869,109110655,0.391005,-0.133037,-0.00371743,0.0,0.0,0.0,0.0,0.0
109132197,109130655,0.390999,-0.133373,-0.00363711,0.0,0.0,0.0,0.0,0.0
109152281,109150655,0.39073,-0.129971,-0.00531739,0.0,0.0,0.0,0.0,0.0
109175203,109174682,0.410955,-0.127791,-0.0125352,0.0,0.0,0.0,0.0,0.0
109195369,109194655,0.388232,-0.14633,0.00241626,0.0,0.0,0.0,0.0,0.0
109215244,109214655,0.413597,-0.105746,0.00227573,0.0,0.0,0.0,0.0,0.0
109235187,109234655,0.403496,-0.120613,-0.000503183,0.0,0.0,0.0,0.0,0.0
109259185,109258655,0.38822,-0.137479,-0.0133727,0.0,0.0,0.0,0.0,0.0
109279277,109278657,0.393383,-0.133057,-0.00985617,0.0,0.0,0.0,0.0,0.0
109299333,109298656,0.375692,-0.150312,-0.00327379,0.0,0.0,0.0,0.0,0.0
109319550,109318688,0.37763,-0.136328,0.00163331,0.0,0.0,0.0,0.0,0.0
109343212,109342682,0.392057,-0.138836,0.00283776,0.0,0.0,0.0,0.0,0.0
109363196,109362655,0.406587,-0.127191,0.000253404,0.0,0.0,0.0,0.0,0.0
109383088,109382655,0.392723,-0.122403,-0.0039462,0.0,0.0,0.0,0.0,0.0
109403178,109402655,0.39203,-0.137983,-0.00545937,0.0,0.0,0.0,0.0,0.0
109427259,109426654,0.39142,-0.141225,-0.00542332,0.0,0.0,0.0,0.0,0.0
109447275,109446655,0.390712,-0.120787,-0.00328975,0.0,0.0,0.0,0.0,0.0
109467378,109466655,0.388441,-0.13429,-0.00128889,0.0,0.0,0.0,0.0,0.0
109487565,109486655,0.395079,-0.149656,-0.00354937,0.0,0.0,0.0,0.0,0.0
109515166,109514654,0.375616,-0.147515,-0.00400581,0.0,0.0,0.0,0.0,0.0
109535174,109534661,0.375068,-0.148903,-0.00177525,0.0,0.0,0.0,0.0,0.0
109555210,109554655,0.408979,-0.122472,-0.00428355,0.0,0.0,0.0,0.0,0.0
109575303,109574655,0.390319,-0.150374,-0.00367985,0.0,0.0,0.0,0.0,0.0
109599180,109598685,0.388084,-0.125552,-0.00366418,0.0,0.0,0.0,0.0,0.0
109619194,109618655,0.396614,-0.135408,-0.00378094,0.0,0.0,0.0,0.0,0.0
109639168,109638655,0.384097,-0.142662,-0.00494811,0.0,0.0,0.0,0.0,0.0
109659277,109658658,0.392018,-0.122247,-0.00291114,0.0,0.0,0.0,0.0,0.0
109683153,109682655,0.388872,-0.142858,-0.00542336,0.0,0.0,0.0,0.0,0.0
109704142,109702655,0.390323,-0.120539,-0.00298799,0.0,0.0,0.0,0.0,0.0
109723149,109722655,0.389741,-0.150791,-0.00458881,0.0,0.0,0.0,0.0,0.0
109743348,109742655,0.385993,-0.130262,-0.00435726,0.0,0.0,0.0,0.0,0.0
109763147,109762655,0.395673,-0.144296,-0.0029593,0.0,0.0,0.0,0.0,0.0
109787217,109786665,0.3905,-0.136184,-0.00474951,0.0,0.0,0.0,0.0,0.0
109807273,109806655,0.399168,-0.145913,-0.0032873,0.0,0.0,0.0,0.0,0.0
109827339,109826655,0.387516,-0.135,-0.00563773,0.0,0.0,0.0,0.0,0.0
109847281,109846655,0.388934,-0.139505,-0.00310631,0.0,0.0,0.0,0.0,0.0
109872382,109870655,0.388814,-0.134844,-0.00604053,0.0,0.0,0.0,0.0,0.0
109893261,109890656,0.386733,-0.140492,-0.00283283,0.0,0.0,0.0,0.0,0.0
109913202,109910655,0.392352,-0.129424,-0.00602064,0.0,0.0,0.0,0.0,0.0
109932423,109930657,0.388191,-0.139057,-0.00325912,0.0,0.0,0.0,0.0,0.0
109955246,109954655,0.390195,-0.132822,-0.00563858,0.0,0.0,0.0,0.0,0.0
109975242,109974655,0.389089,-0.1519,-0.00350851,0.0,0.0,0.0,0.0,0.0
109995337,109994655,0.410308,-0.120761,-0.00521954,0.0,0.0,0.0,0.0,0.0
110019173,110018655,0.3852,-0.148919,-0.00339551,0.0,0.0,0.0,0.0,0.0
