timestamp,timestamp_last_valid,channels[0],channels[1],channels[2],channels[3],channels[4],channels[5],channels[6],channels[7],channels[8],channels[9],channels[10],channels[11],channels[12],channels[13],channels[14],channels[15],channels[16],channels[17],frame_drop_count,channel_count,function[0],function[1],function[2],function[3],function[4],function[5],function[6],function[7],function[8],function[9],function[10],function[11],function[12],function[13],function[14],function[15],function[16],function[17],function[18],function[19],function[20],function[21],function[22],rssi,signal_lost
108729645,0,-0.012024,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.688,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108773761,0,-0.012024,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108776325,0,-0.012024,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108779542,0,-0.012024,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.69,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108784488,0,-0.012024,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.69,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108787714,0,-0.012024,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108842237,0,-0.0140281,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108852554,0,-0.012024,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108864361,0,-0.012024,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108868547,0,-0.01002,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108879312,0,-0.01002,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108886432,0,-0.012024,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
108896680,0,-0.012024,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.688,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
