timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
108750656,-0.00707544,0.0011359,-0.00293037,0.004001,0,0.450739,1.42876,-9.74502,0.004001,-23073,-0.101046,-0.383437,0.471543,-42036,1691.86,48.91
108766655,-0.00666486,0.00208453,-0.00185209,0.004,0,0.454074,1.44105,-9.76063,0.004,-39072,-0.101046,-0.383437,0.471543,-58035,1691.86,48.91
108770655,-0.00687479,0.00283208,-0.00206147,0.004,0,0.47473,1.43878,-9.74483,0.004,-43072,-0.101046,-0.383437,0.471543,-62035,1691.86,48.91
108774676,-0.00687772,0.00240225,-0.00185233,0.004021,0,0.463596,1.43611,-9.74003,0.004021,-2260,-0.102297,-0.380645,0.474252,-66056,1691.86,48.91
108778658,-0.00687768,0.00208453,-0.00185507,0.003982,0,0.465275,1.43427,-9.77039,0.003982,-6242,-0.102297,-0.380645,0.474252,-70038,1691.86,48.91
108782655,-0.00634547,0.00304288,-0.00183937,0.003997,0,0.466452,1.44719,-9.75395,0.003997,-10239,-0.102297,-0.380645,0.474252,-74035,1691.86,48.91
108786655,-0.00633492,0.0042193,-0.00257428,0.004,0,0.451763,1.44738,-9.74986,0.004,-4701,-0.107302,-0.379248,0.502695,-78035,1691.86,48.91
108790655,-0.00581382,0.00421289,-0.00182185,0.004,0,0.458511,1.43812,-9.75224,0.004,-8701,-0.107302,-0.379248,0.502695,-82035,1691.86,48.91
108842655,-0.00718048,0.00325805,-0.00260032,0.003967,0,0.469245,1.42787,-9.77977,0.003967,-3342,-0.101046,-0.380645,0.491859,-19332,1691.36,48.91
108846655,-0.00685985,0.00241477,-0.00312921,0.004,0,0.465083,1.43737,-9.77603,0.004,-7342,-0.101046,-0.380645,0.491859,-23332,1691.36,48.91
108850655,-0.0063151,0.00263574,-0.00397118,0.004,0,0.463144,1.44769,-9.75638,0.004,-11342,-0.101046,-0.380645,0.491859,-1384,1692.15,48.91
108854654,-0.00686878,0.00315427,-0.00249103,0.003999,0,0.469053,1.43376,-9.77151,0.003999,-5284,-0.1048,-0.377852,0.485087,-5383,1692.15,48.91
108858655,-0.00741381,0.00314596,-0.00153341,0.004001,0,0.47035,1.4183,-9.77539,0.004001,-9285,-0.1048,-0.377852,0.485087,-9384,1692.15,48.91
108862658,-0.00718935,0.00315289,-0.00238281,0.004003,0,0.463913,1.42563,-9.79548,0.004003,-13288,-0.1048,-0.377852,0.485087,-13387,1692.15,48.91
108866657,-0.00783126,0.00283358,-0.00217989,0.003999,0,0.455415,1.4204,-9.77008,0.003999,-4447,-0.106051,-0.384833,0.491859,-17386,1692.15,48.91
108870655,-0.00719694,0.00314871,-0.00185038,0.003998,0,0.458168,1.42915,-9.76163,0.003998,-8445,-0.106051,-0.384833,0.491859,-21384,1692.15,48.91
108874655,-0.00635986,0.00239474,-0.00088722,0.004,0,0.45512,1.44467,-9.76655,0.004,-2338,-0.107302,-0.37506,0.48915,-25384,1692.15,48.91
108878655,-0.00667978,0.0022882,-0.000786184,0.004,0,0.453409,1.44504,-9.78161,0.004,-6338,-0.107302,-0.37506,0.48915,-29384,1692.15,48.91
