timestamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,rollacc,pitchacc,yawacc,rate_vibration,accel_vibration,mag_vibration,rate_offsets[0],rate_offsets[1],rate_offsets[2],R[0],R[1],R[2],R[3],R[4],R[5],R[6],R[7],R[8],q[0],q[1],q[2],q[3],g_comp[0],g_comp[1],g_comp[2],R_valid,q_valid
108730655,-0.147139,0.0460048,1.94684,-0.00043076,-0.000478178,-0.00139995,0.0,0.0,0.0,0.0,0.0,0.0,0.00637296,-0.00260477,0.00182718,-0.366858,-0.917597,-0.15307,0.929139,-0.36955,-0.0115285,-0.0459886,-0.146453,0.988148,-0.559406,0.0602982,0.0478552,-0.825311,0.476648,1.38634,-9.86205,1,1
108750656,-0.147131,0.046002,1.94684,-0.000399645,-0.000334966,-0.00125493,0.0,0.0,0.0,0.0,0.0,0.0,0.00637454,-0.0026043,0.00182909,-0.366853,-0.9176,-0.153063,0.929142,-0.369544,-0.0115274,-0.0459858,-0.146446,0.988149,-0.559409,0.060295,0.0478527,-0.82531,0.474718,1.41179,-9.80679,1,1
108770655,-0.147123,0.0459961,1.94684,-0.000410237,-0.000550653,-0.000650978,0.0,0.0,0.0,0.0,0.0,0.0,0.00637608,-0.00260397,0.00183092,-0.366854,-0.917602,-0.153053,0.929142,-0.369544,-0.0115301,-0.0459799,-0.146438,0.988151,-0.559409,0.0602904,0.0478511,-0.82531,0.466573,1.41801,-9.76706,1,1
108782655,-0.147123,0.0459964,1.94685,-0.000438972,-0.000196034,-2.30016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00637655,-0.00260386,0.00183262,-0.366868,-0.917596,-0.153053,0.929136,-0.369559,-0.0115321,-0.0459801,-0.146438,0.988151,-0.559402,0.06029,0.0478514,-0.825315,0.46888,1.4251,-9.74796,1,1
108790655,-0.147122,0.0460018,1.94688,-8.70042e-05,0.000629329,-0.000169153,0.0,0.0,0.0,0.0,0.0,0.0,0.00637668,-0.00260401,0.00183525,-0.366891,-0.917587,-0.153054,0.929127,-0.369582,-0.0115305,-0.0459856,-0.146437,0.988151,-0.559392,0.0602914,0.0478502,-0.825322,0.465809,1.43117,-9.74455,1,1
108842655,-0.147122,0.0460102,1.94695,-7.93743e-05,0.00034288,-0.000621337,0.0,0.0,0.0,0.0,0.0,0.0,0.00637744,-0.00260464,0.00184684,-0.366956,-0.917561,-0.153056,0.929101,-0.369647,-0.0115336,-0.045994,-0.146437,0.98815,-0.559363,0.0602932,0.04785,-0.825341,0.465053,1.44088,-9.74035,1,1
108854654,-0.147127,0.0460159,1.94696,-0.000460877,0.000279807,-0.00113883,0.0,0.0,0.0,0.0,0.0,0.0,0.00637743,-0.00260469,0.00184849,-0.366962,-0.917557,-0.153063,0.929098,-0.369654,-0.0115313,-0.0459997,-0.146442,0.988149,-0.55936,0.0602969,0.0478508,-0.825343,0.460186,1.44407,-9.75603,1,1
108866657,-0.147134,0.0460203,1.94697,-0.000795559,0.000440685,-0.00045882,0.0,0.0,0.0,0.0,0.0,0.0,0.00637744,-0.00260499,0.00185138,-0.366979,-0.917549,-0.15307,0.929091,-0.369672,-0.0115327,-0.046004,-0.146448,0.988148,-0.559352,0.0603001,0.0478529,-0.825348,0.459265,1.43887,-9.77898,1,1
108874655,-0.14714,0.0460236,1.94699,-0.000979473,0.000384413,-6.68979e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00637749,-0.00260526,0.00185346,-0.366997,-0.91754,-0.153077,0.929084,-0.36969,-0.0115348,-0.0460074,-0.146455,0.988147,-0.559343,0.0603028,0.0478551,-0.825354,0.454208,1.43689,-9.74887,1,1
108886655,-0.147146,0.0460254,1.94701,-0.000138351,5.85241e-05,0.000654063,0.0,0.0,0.0,0.0,0.0,0.0,0.00637738,-0.00260549,0.0018548,-0.367015,-0.917532,-0.153082,0.929076,-0.369708,-0.0115381,-0.0460092,-0.14646,0.988146,-0.559335,0.0603045,0.0478574,-0.825359,0.45212,1.44682,-9.72437,1,1
108898687,-0.147145,0.0460275,1.94702,0.000200852,-1.30665e-05,-0.000297838,0.0,0.0,0.0,0.0,0.0,0.0,0.00637723,-0.00260549,0.00185565,-0.367024,-0.917529,-0.153082,0.929073,-0.369717,-0.0115375,-0.0460112,-0.146459,0.988146,-0.559331,0.060305,0.0478568,-0.825362,0.460632,1.44167,-9.6999,1,1
108906655,-0.147112,0.046054,1.94704,0.000431209,0.000545006,-0.000694854,0.0,0.0,0.0,0.0,0.0,0.0,0.00638019,-0.00260337,0.00185792,-0.367037,-0.917527,-0.153062,0.929067,-0.369734,-0.011503,-0.0460377,-0.146426,0.98815,-0.559325,0.0603063,0.0478361,-0.825367,0.617745,1.28361,-9.97346,1,1
108918655,-0.147076,0.0460887,1.94707,-0.000361105,0.000590875,-0.000768703,0.0,0.0,0.0,0.0,0.0,0.0,0.00638362,-0.00260117,0.00186225,-0.367064,-0.91752,-0.153041,0.929054,-0.369767,-0.0114625,-0.0460724,-0.146391,0.988154,-0.559313,0.0603099,0.0478125,-0.825376,0.578506,1.31176,-9.91039,1,1
108930655,-0.147054,0.046113,1.94704,-0.000591309,0.000235311,-0.000425259,0.0,0.0,0.0,0.0,0.0,0.0,0.00638668,-0.00259869,0.00186061,-0.367037,-0.917532,-0.15303,0.929064,-0.369744,-0.0114277,-0.0460966,-0.146369,0.988155,-0.559324,0.0603145,0.0477958,-0.825369,0.528969,1.35453,-9.80661,1,1
108942655,-0.147037,0.0461324,1.94704,0.000174587,0.000501874,-0.000344542,0.0,0.0,0.0,0.0,0.0,0.0,0.00638854,-0.00259736,0.00186121,-0.367038,-0.917534,-0.153021,0.929062,-0.369748,-0.0114035,-0.0461161,-0.146352,0.988157,-0.559324,0.0603175,0.0477831,-0.82537,0.506045,1.37803,-9.76129,1,1
108954683,-0.147025,0.04614,1.94706,-8.21035e-05,-0.000423122,-0.00149848,0.0,0.0,0.0,0.0,0.0,0.0,0.00638952,-0.00259678,0.00186501,-0.367058,-0.917527,-0.153013,0.929054,-0.369769,-0.0113955,-0.0461237,-0.14634,0.988159,-0.559315,0.0603168,0.0477768,-0.825377,0.501325,1.40292,-9.75751,1,1
108962657,-0.14702,0.0461426,1.94709,-0.000260212,-0.000331356,-0.00106414,0.0,0.0,0.0,0.0,0.0,0.0,0.00639003,-0.00259661,0.00186869,-0.367083,-0.917517,-0.153009,0.929044,-0.369794,-0.0113955,-0.0461263,-0.146335,0.988159,-0.559303,0.0603159,0.0477749,-0.825384,0.494058,1.40629,-9.75715,1,1
108974655,-0.147014,0.0461448,1.94713,-0.000199609,-0.00036452,-0.000244943,0.0,0.0,0.0,0.0,0.0,0.0,0.00639076,-0.00259668,0.00187341,-0.367122,-0.917503,-0.153004,0.929028,-0.369833,-0.0113977,-0.0461284,-0.146329,0.98816,-0.559286,0.0603141,0.047773,-0.825396,0.470855,1.39911,-9.72536,1,1
108982658,-0.147007,0.0461424,1.94715,0.000150898,-0.000452664,-0.000679165,0.0,0.0,0.0,0.0,0.0,0.0,0.00639131,-0.00259681,0.0018757,-0.36714,-0.917497,-0.152996,0.929021,-0.36985,-0.0114003,-0.046126,-0.146322,0.988161,-0.559279,0.0603108,0.0477715,-0.825402,0.462289,1.40007,-9.68718,1,1
108994655,-0.146999,0.0461433,1.94717,0.000493501,0.000130126,-0.000317679,0.0,0.0,0.0,0.0,0.0,0.0,0.00639154,-0.00259695,0.00187863,-0.367161,-0.91749,-0.152989,0.929013,-0.369871,-0.0113997,-0.0461269,-0.146314,0.988162,-0.55927,0.0603082,0.0477684,-0.825408,0.467216,1.42221,-9.66026,1,1
109006703,-0.146992,0.0461479,1.9472,0.000283358,-0.000224885,0.000137705,0.0,0.0,0.0,0.0,0.0,0.0,0.0063917,-0.00259685,0.00188136,-0.367187,-0.91748,-0.152984,0.929003,-0.369898,-0.0113974,-0.0461315,-0.146307,0.988163,-0.559258,0.0603075,0.0477652,-0.825416,0.468271,1.41732,-9.66169,1,1
109014655,-0.146988,0.0461478,1.94722,0.000156848,-0.000199568,-0.000354955,0.0,0.0,0.0,0.0,0.0,0.0,0.00639181,-0.00259696,0.00188358,-0.367206,-0.917473,-0.15298,0.928995,-0.369917,-0.0113992,-0.0461314,-0.146303,0.988164,-0.55925,0.0603059,0.0477642,-0.825422,0.462929,1.41468,-9.64964,1,1
109026655,-0.146989,0.0461499,1.94725,-0.00052916,-0.000120511,-0.000505832,0.0,0.0,0.0,0.0,0.0,0.0,0.00639205,-0.00259709,0.00188686,-0.367231,-0.917463,-0.152981,0.928985,-0.369942,-0.0114015,-0.0461336,-0.146304,0.988164,-0.559238,0.0603063,0.0477647,-0.82543,0.467064,1.41468,-9.66841,1,1
109038689,-0.146988,0.0461476,1.94728,0.000157132,-0.000658348,-0.00033073,0.0,0.0,0.0,0.0,0.0,0.0,0.00639217,-0.00259718,0.00189023,-0.367258,-0.917452,-0.152979,0.928974,-0.369968,-0.0114077,-0.0461313,-0.146303,0.988164,-0.559227,0.0603044,0.0477658,-0.825438,0.470887,1.42715,-9.69767,1,1
109046655,-0.146985,0.0461438,1.94729,0.000299585,-0.000655876,-1.03659e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0063921,-0.0025972,0.00189168,-0.367271,-0.917448,-0.152975,0.928969,-0.369981,-0.0114126,-0.0461275,-0.146301,0.988164,-0.559221,0.0603019,0.0477664,-0.825442,0.461392,1.4427,-9.70666,1,1
109058655,-0.146985,0.0461436,1.94731,0.00012958,0.000368541,-0.000517423,0.0,0.0,0.0,0.0,0.0,0.0,0.00639181,-0.00259749,0.00189386,-0.367289,-0.917441,-0.152975,0.928962,-0.369998,-0.0114155,-0.0461273,-0.146301,0.988164,-0.559213,0.0603013,0.0477669,-0.825447,0.451625,1.44034,-9.69316,1,1
109070655,-0.146981,0.0461457,1.94734,0.000301875,-4.69328e-05,-0.000459175,0.0,0.0,0.0,0.0,0.0,0.0,0.00639183,-0.00259793,0.00189725,-0.367314,-0.917432,-0.152971,0.928953,-0.370023,-0.0114161,-0.0461293,-0.146296,0.988165,-0.559202,0.0603002,0.0477653,-0.825455,0.455162,1.41896,-9.65326,1,1
109082655,-0.146982,0.046144,1.94737,-0.000561725,-0.000502751,-0.000554635,0.0,0.0,0.0,0.0,0.0,0.0,0.00639189,-0.00259805,0.00190066,-0.367342,-0.91742,-0.152971,0.928942,-0.37005,-0.0114227,-0.0461276,-0.146297,0.988165,-0.55919,0.0602991,0.0477671,-0.825463,0.466479,1.41758,-9.6312,1,1
109094657,-0.146975,0.0461555,1.94739,-0.000525925,-9.47353e-05,-0.000351019,0.0,0.0,0.0,0.0,0.0,0.0,0.0063933,-0.00259692,0.00190379,-0.367363,-0.917412,-0.152969,0.928933,-0.370073,-0.0114131,-0.0461391,-0.14629,0.988165,-0.55918,0.0603013,0.0477617,-0.82547,0.551829,1.37537,-9.92908,1,1
109102655,-0.14696,0.046168,1.94741,0.000521949,4.94418e-05,0.000308682,0.0,0.0,0.0,0.0,0.0,0.0,0.00639453,-0.00259602,0.00190594,-0.367383,-0.917406,-0.152959,0.928924,-0.370095,-0.0113992,-0.0461516,-0.146275,0.988167,-0.559171,0.0603018,0.0477526,-0.825476,0.523186,1.38514,-9.83947,1,1
109114655,-0.146941,0.0461813,1.94743,-1.43438e-05,-0.000140668,-0.000289626,0.0,0.0,0.0,0.0,0.0,0.0,0.0063958,-0.00259504,0.00190834,-0.367403,-0.9174,-0.152947,0.928916,-0.370117,-0.0113835,-0.0461649,-0.146257,0.988169,-0.559162,0.0603016,0.0477419,-0.825483,0.507574,1.3969,-9.7661,1,1
