timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,R_body[0],R_body[1],R_body[2],R_body[3],R_body[4],R_body[5],R_body[6],R_body[7],R_body[8],q_d[0],q_d[1],q_d[2],q_d[3],q_e[0],q_e[1],q_e[2],q_e[3],thrust,R_valid,q_d_valid,q_e_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
108752490,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638668,0.930199,-0.367036,-0.00382471,0.00121352,-0.00734476,0.999972,0.562557,-0.0015643,-0.00337752,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108771845,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.0063867,0.930199,-0.367036,-0.00382468,0.00121348,-0.00734476,0.999972,0.562557,-0.00156432,-0.00337751,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108791741,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638659,0.930199,-0.367036,-0.00382485,0.00121369,-0.00734473,0.999972,0.562557,-0.00156423,-0.00337756,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108851780,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00752483,0.930199,-0.367031,-0.00427506,0.00121468,-0.00856876,0.999963,0.562556,-0.00190812,-0.00388384,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108871577,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524762,0.930199,-0.36704,-0.00337585,0.00121408,-0.00612045,0.999981,0.562558,-0.00121969,-0.00287157,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108892402,-0.00734507,-0.0,1.94664,0.0,-0.367054,-0.930175,-0.00683131,0.9302,-0.367044,-0.00269859,2.76863e-06,-0.00734501,0.999973,0.562556,-0.00206487,-0.00303707,0.826751,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108911674,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638594,0.930199,-0.367036,-0.00382594,0.00121494,-0.00734452,0.999972,0.562557,-0.00156365,-0.00337782,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108931805,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00752442,0.930199,-0.367031,-0.00427579,0.00121552,-0.00856865,0.999963,0.562556,-0.00190775,-0.00388403,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108961685,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638579,0.930199,-0.367036,-0.00382619,0.00121522,-0.00734448,0.999972,0.562557,-0.00156352,-0.00337788,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108981396,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524706,0.930199,-0.36704,-0.00337672,0.00121509,-0.00612024,0.999981,0.562558,-0.00121922,-0.00287177,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109001776,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638539,0.930199,-0.367036,-0.00382686,0.001216,-0.00734435,0.999972,0.562557,-0.00156317,-0.00337805,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109021404,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638519,0.930199,-0.367036,-0.00382719,0.00121637,-0.00734428,0.999972,0.562557,-0.00156299,-0.00337813,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109041407,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638502,0.930199,-0.367036,-0.00382748,0.0012167,-0.00734423,0.999972,0.562557,-0.00156284,-0.0033782,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109061671,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.0075233,0.930199,-0.367031,-0.00427776,0.00121776,-0.00856833,0.999963,0.562556,-0.00190673,-0.00388452,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109082477,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638472,0.930199,-0.367036,-0.00382798,0.00121729,-0.00734413,0.999972,0.562557,-0.00156257,-0.00337832,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109101414,-0.00734507,-0.0,1.94664,0.0,-0.367054,-0.930175,-0.00683026,0.9302,-0.367044,-0.00270124,5.61956e-06,-0.007345,0.999973,0.562556,-0.00206369,-0.00303787,0.826751,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109121377,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638442,0.930199,-0.367036,-0.00382848,0.00121785,-0.00734404,0.999972,0.562557,-0.00156231,-0.00337844,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
