timestamp,time_utc_usec,lat,lon,alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,pressure_alt,terrain_alt_valid,dead_reckoning
108750945,1474132828924587,39.8136043755,-105.21435984,1788.54,0.0369575,0.00722792,-0.0763437,1.94684,0.615566,0.239723,1789.39,1691.86,0,0
108849716,1474132828924587,39.8136044095,-105.214359865,1788.55,0.0366338,0.00702889,-0.0784871,1.94695,0.626748,0.241918,1789.39,1691.36,0,0
108949766,1474132829924652,39.8136044351,-105.214360061,1788.54,0.0331133,0.000992655,-0.0759424,1.94704,0.615472,0.240125,1789.39,1691.76,0,0
109050148,1474132829924652,39.8136044631,-105.214360106,1788.55,0.0324219,4.27075e-05,-0.0842195,1.94729,0.626871,0.241724,1789.39,1692.05,0,0
109149892,1474132829924652,39.8136045179,-105.214360269,1788.57,0.0308833,-0.00351348,-0.0874638,1.94744,0.616251,0.240219,1789.39,1692.25,0,0
109250063,1474132829924652,39.8136045481,-105.214360298,1788.59,0.0257059,-0.00346507,-0.104298,1.94736,0.627735,0.241837,1789.39,1692.64,0,0
109360222,1474132829924652,39.8136045184,-105.214360377,1788.6,0.0187832,-0.00545004,-0.0994011,1.94737,0.616364,0.239744,1789.39,1692.15,0,0
109460398,1474132829924652,39.8136045259,-105.214360393,1788.61,0.016316,-0.00432407,-0.10152,1.94756,0.627779,0.241351,1789.39,1691.27,0,0
109560487,1474132829924652,39.8136044022,-105.214360504,1788.59,0.00375028,-0.0051357,-0.0935344,1.94752,0.616752,0.239758,1789.39,1691.86,0,0
109660545,1474132829924652,39.8136043814,-105.214360529,1788.6,-0.000582027,-0.00681641,-0.100622,1.9478,0.628216,0.241381,1789.39,1691.36,0,0
109760569,1474132829924652,39.8136043744,-105.214360748,1788.59,-0.00495184,-0.0150092,-0.10209,1.94793,0.613377,0.238159,1789.39,1691.86,0,0
109860869,1474132829924652,39.8136043681,-105.214360813,1788.6,-0.00745696,-0.0158207,-0.107045,1.94818,0.624474,0.239723,1789.39,1692.05,0,0
109960941,1474132830924718,39.8136044202,-105.214360905,1788.59,-0.009711,-0.0172528,-0.101548,1.94845,0.613611,0.238173,1789.39,1692.25,0,0
110071089,1474132830924718,39.813604421,-105.214360941,1788.59,-0.00866686,-0.0224365,-0.102683,1.94862,0.625903,0.23993,1789.39,1692.44,0,0
110171205,1474132830924718,39.8136045555,-105.214360988,1788.59,-0.00488659,-0.0145864,-0.103872,1.94878,0.615074,0.238435,1789.39,1691.46,0,0
110271544,1474132830924718,39.8136045698,-105.214361009,1788.6,-5.92282e-06,-0.0172549,-0.115347,1.94898,0.626376,0.240095,1789.39,1691.86,0,0
110371309,1474132830924718,39.8136047595,-105.214361003,1788.59,0.00724035,-0.0115535,-0.112221,1.94916,0.615836,0.238731,1789.39,1691.66,0,0
110471381,1474132830924718,39.8136047896,-105.214361012,1788.61,0.0109253,-0.0110444,-0.125565,1.94943,0.627226,0.240408,1789.39,1691.66,0,0
110571424,1474132830924718,39.8136049101,-105.214361029,1788.61,0.0134232,-0.0101472,-0.127391,1.94958,0.616679,0.239047,1789.39,1692.25,0,0
110671740,1474132830924718,39.8136049297,-105.214361042,1788.63,0.00712147,-0.0133485,-0.140068,1.94931,0.628206,0.240778,1789.39,1691.27,0,0
110781699,1474132830924718,39.8136050085,-105.214361156,1788.64,0.00873241,-0.0082597,-0.143698,1.94843,0.618386,0.239469,1789.39,1693.03,0,0
110881777,1474132830924718,39.8136050333,-105.214361179,1788.72,0.0131312,-0.00745898,-0.155225,1.94477,0.630001,0.241197,1789.39,1692.64,0,0
110981902,1474132831924783,39.8136051078,-105.214361349,1788.76,0.0073611,-0.00980672,-0.133537,1.94447,0.614145,0.237619,1789.39,1693.43,0,0
111082056,1474132831924783,39.8136051132,-105.21436138,1788.82,-0.000340415,-0.0203212,-0.143783,1.94886,0.625258,0.239236,1789.39,1693.03,0,0
111182187,1474132831924783,39.813605276,-105.21436139,1788.82,0.00377152,-0.0323061,-0.126299,1.947,0.614315,0.237703,1789.39,1692.15,0,0
111282227,1474132831924783,39.8136052883,-105.214361418,1788.85,-0.00448763,-0.021116,-0.158583,1.94765,0.62548,0.239345,1789.39,1692.25,0,0
111382365,1474132831924783,39.8136054655,-105.21436153,1788.84,-0.000561635,-0.0192383,-0.162309,1.94743,0.614818,0.237942,1789.39,1692.64,0,0
111492452,1474132831924783,39.8136054789,-105.214361564,1788.86,-0.00289016,-0.0222689,-0.173378,1.94749,0.605924,0.236901,1789.39,1692.94,0,0
111592549,1474132831924783,39.8136056088,-105.21436166,1788.87,-0.00115572,-0.0241321,-0.186812,1.94728,0.616901,0.238561,1789.39,1692.64,0,0
111692641,1474132831924783,39.8136056319,-105.214361695,1788.89,-0.00464362,-0.0221363,-0.208956,1.94731,0.603275,0.235694,1789.39,1692.35,0,0
111792868,1474132831924783,39.8136056821,-105.214361734,1788.88,-0.00504369,-0.0107883,-0.233285,1.94709,0.613937,0.237282,1789.39,1692.64,0,0
111892908,1474132832924849,39.8136056895,-105.21436177,1788.89,-0.0240115,-0.0131116,-0.258043,1.94621,0.603953,0.236031,1789.39,1691.76,0,0
112003043,1474132832924849,39.8136057041,-105.214361885,1788.88,-0.047384,-0.0485842,-0.206869,1.94487,0.615837,0.237828,1789.39,1692.44,0,0
112103246,1474132832924849,39.8136056673,-105.214361957,1788.91,-0.0346186,-0.0644376,-0.170493,1.94246,0.627144,0.239548,1789.39,1692.74,0,0
112203368,1474132832924849,39.813605779,-105.214362143,1788.89,-0.0353008,-0.0566298,-0.149141,1.94071,0.614714,0.237542,1789.39,1691.27,0,0
112303377,1474132832924849,39.8136058387,-105.214362222,1788.85,-0.0235344,-0.0585665,-0.120652,1.94014,0.60207,0.235129,1789.39,1692.05,0,0
112403408,1474132832924849,39.8136059463,-105.21436221,1788.81,-0.0279898,-0.0600437,-0.0808914,1.93928,0.612591,0.236694,1789.39,1691.86,0,0
112503489,1474132832924849,39.8136059689,-105.214362297,1788.8,-0.0326718,-0.066518,-0.065765,1.94118,0.599051,0.23384,1789.39,1692.05,0,0
112603670,1474132832924849,39.8136060678,-105.214362443,1788.77,-0.00796249,-0.0667722,-0.173547,1.94278,0.609272,0.235351,1789.39,1691.07,0,0
112713717,1474132832924849,39.8136061312,-105.214362451,1788.73,0.00325743,-0.0598313,-0.196337,1.94671,0.597339,0.23289,1789.39,1691.95,0,0
112813781,1474132832924849,39.8136062133,-105.21436243,1788.69,0.00947708,-0.0610114,-0.201339,1.94886,0.607354,0.234367,1789.39,1691.66,0,0
112913835,1474132833924914,39.813606227,-105.214362489,1788.69,0.00664767,-0.0557574,-0.417745,1.95215,0.591921,0.230562,1789.39,1691.86,0,0
113013928,1474132833924914,39.8136065208,-105.214362508,1788.68,0.0608454,-0.0546084,-0.559954,1.95619,0.601364,0.231908,1789.39,1691.46,0,0
113114122,1474132833924914,39.8136066431,-105.214362681,1788.71,0.103774,-0.108587,-0.560897,1.95913,0.589003,0.229445,1789.39,1691.86,0,0
113214242,1474132833924914,39.8136067754,-105.214362941,1788.74,0.0995363,-0.168325,-0.62086,1.95815,0.598265,0.2308,1789.39,1692.84,0,0
113314466,1474132833924914,39.8136068941,-105.21436325,1788.82,0.067335,-0.196478,-0.636871,1.9532,0.586783,0.22874,1789.39,1692.35,0,0
113414561,1474132833924914,39.8136070163,-105.214363619,1788.87,0.0684332,-0.231986,-0.527357,1.94593,0.595968,0.230133,1789.39,1692.15,0,0
113524873,1474132833924914,39.8136069663,-105.214363959,1788.94,-0.00420062,-0.21254,-0.464996,1.93972,0.585141,0.228101,1789.39,1693.53,0,0
113624949,1474132833924914,39.8136068179,-105.214364244,1789.01,-0.0298094,-0.166469,-0.440799,1.93215,0.594249,0.229527,1789.39,1691.46,0,0
113724945,1474132833924914,39.8136066602,-105.214364338,1789.02,-0.0407332,-0.094351,-0.505528,1.91688,0.582977,0.22754,1789.39,1692.54,0,0
113825051,1474132833924914,39.813606534,-105.214364329,1789.08,-0.0534183,0.0285324,-0.556829,1.89514,0.592034,0.229009,1789.39,1692.54,0,0
113925355,1474132834924980,39.8136064453,-105.214364219,1789.13,-0.0686543,0.112021,-0.506764,1.86962,0.580864,0.227105,1789.39,1692.44,0,0
114025444,1474132834924980,39.813606291,-105.214363937,1789.18,-0.0898659,0.217148,-0.412335,1.84387,0.589868,0.228603,1789.39,1692.94,0,0
114125592,1474132834924980,39.813606195,-105.214363599,1789.24,-0.0825029,0.336554,-0.408273,1.81652,0.599315,0.230235,1789.39,1692.54,0,0
114235542,1474132834924980,39.8136060771,-105.214362757,1789.31,0.0180317,0.586046,-0.583917,1.78976,0.590126,0.229213,1789.39,1692.54,0,0
114335657,1474132834924980,39.813606009,-105.214361773,1789.39,0.0742026,0.707553,-0.569823,1.75796,0.580419,0.228054,1789.39,1693.43,0,0
114435776,1474132834924980,39.8136060684,-105.214360681,1789.46,0.199059,0.881318,-0.654256,1.72936,0.589768,0.229737,1789.39,1693.13,0,0
114535821,1474132834924980,39.8136061998,-105.214359472,1789.54,0.310979,1.01438,-0.65511,1.69656,0.580234,0.228686,1789.39,1693.23,0,0
114635983,1474132834924980,39.8136064506,-105.214358147,1789.6,0.374802,1.11758,-0.586324,1.66027,0.589769,0.230446,1789.39,1692.74,0,0
114736119,1474132834924980,39.8136067491,-105.214356591,1789.67,0.4693,1.27307,-0.63168,1.62679,0.579811,0.229191,1789.39,1694.02,0,0
114836293,1474132834924980,39.8136071602,-105.214354917,1789.76,0.54473,1.3844,-0.607729,1.59563,0.589468,0.23099,1789.39,1692.74,0,0
114946287,1474132835925045,39.8136075495,-105.214353275,1789.81,0.653268,1.49306,-0.616969,1.56224,0.580664,0.230033,1789.39,1692.64,0,0
115046465,1474132835925045,39.813608031,-105.214351637,1789.9,0.724748,1.58693,-0.560468,1.53314,0.590519,0.231878,1789.39,1693.92,0,0
