timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
108683267,1474132828924587,398136058,-1052143621,1785055,0,0.514,0.527371,1.889,2.369,0.81,1.22,85,46,0.041,-0.041,-0.007,-0.009,2.09315,0,3,1,13
108884452,1474132829924652,398136058,-1052143623,1785050,0,0.501,0.527397,1.888,2.366,0.81,1.22,85,46,0.09,-0.044,-0.079,-0.011,2.09315,0,3,1,13
109075218,1474132829924652,398136058,-1052143625,1785053,0,0.532,0.527425,1.888,2.363,0.81,1.22,85,48,0.037,-0.011,-0.035,0.022,2.09315,0,3,1,13
109284370,1474132829924652,398136058,-1052143625,1785027,0,0.458,0.527449,1.888,2.36,0.81,1.22,85,48,0.081,-0.077,0.026,0.018,2.09315,0,3,1,13
109485179,1474132829924652,398136056,-1052143627,1785010,0,0.514,0.527476,1.888,2.358,0.81,1.22,85,48,0.187,-0.187,0.002,0.023,2.09315,0,3,1,13
109696184,1474132829924652,398136055,-1052143629,1785001,0,0.393,0.527496,1.888,2.356,0.81,1.22,85,48,0.065,-0.016,-0.063,-0.088,2.09315,0,3,1,13
109887309,1474132830924718,398136056,-1052143629,1784973,0,0.505,0.527522,1.889,2.354,0.81,1.22,85,48,0.027,0.006,0.027,-0.042,2.09315,0,3,1,13
110085990,1474132830924718,398136058,-1052143629,1784994,0,0.51,0.527549,1.889,2.352,0.81,1.22,85,48,0.094,0.081,0.048,-0.041,2.09315,0,3,1,13
110284916,1474132830924718,398136062,-1052143628,1784969,0,0.529,0.527576,1.889,2.35,0.81,1.22,85,48,0.151,0.121,0.089,-0.032,2.09315,0,3,1,13
110474754,1474132830924718,398136064,-1052143627,1784918,0,0.527,0.527604,1.89,2.348,0.81,1.22,85,48,0.06,0.022,0.055,-0.046,2.09315,0,3,1,13
110694898,1474132830924718,398136066,-1052143627,1784875,0,0.519,0.527631,1.89,2.346,0.81,1.22,85,48,0.031,-0.005,-0.031,0.036,2.09315,0,3,1,13
110896032,1474132831924783,398136067,-1052143628,1784855,0,0.374,0.52765,1.89,2.343,0.81,1.22,85,48,0.051,0.0,-0.051,-0.057,2.09315,0,3,1,13
111085649,1474132831924783,398136070,-1052143627,1784823,0,0.498,0.527676,1.889,2.341,0.81,1.22,85,50,0.105,0.076,0.073,0.039,2.09315,0,3,1,13
111279995,1474132831924783,398136074,-1052143627,1784760,0,0.512,0.527703,1.89,2.341,0.81,1.22,85,50,0.099,0.093,-0.033,0.164,2.09315,0,3,1,13
111480040,1474132831924783,398136076,-1052143627,1784718,0,0.534,0.52773,1.89,2.34,0.81,1.22,85,50,0.04,0.017,-0.036,0.054,2.09315,0,3,1,13
111679323,1474132831924783,398136077,-1052143627,1784737,0,0.394,0.527751,1.89,2.339,0.81,1.22,85,50,0.023,-0.023,0.0,0.072,2.09315,0,3,1,13
111878235,1474132832924849,398136077,-1052143627,1784713,0,0.521,0.527778,1.89,2.338,0.81,1.22,85,50,0.083,-0.045,-0.069,0.025,2.09315,0,3,1,13
112142532,1474132832924849,398136078,-1052143628,1784711,0,0.458,0.527802,1.888,2.336,0.71,1.17,85,47,0.084,0.046,-0.07,0.079,2.09315,0,3,1,16
112287375,1474132832924849,398136079,-1052143628,1784666,0,0.415,0.527823,1.884,2.335,0.71,1.17,85,47,0.033,-0.013,0.03,0.003,2.09315,0,3,1,16
112488204,1474132832924849,398136079,-1052143629,1784659,0,0.381,0.527843,1.881,2.332,0.71,1.17,85,47,0.087,0.004,-0.086,-0.052,2.09315,0,3,1,16
112689152,1474132832924849,398136079,-1052143630,1784650,0,0.386,0.527863,1.877,2.33,0.71,1.17,85,47,0.052,0.008,0.052,0.029,2.09315,0,3,1,16
112907313,1474132833924914,398136080,-1052143631,1784644,0,0.32,0.52788,1.874,2.328,0.71,1.17,85,47,0.087,0.083,-0.028,-0.065,2.09315,0,3,1,16
113090108,1474132833924914,398136081,-1052143633,1784670,0,0.368,0.527899,1.87,2.326,0.71,1.17,85,47,0.14,0.002,-0.14,-0.303,2.09315,0,3,1,16
113289118,1474132833924914,398136081,-1052143637,1784746,0,0.387,0.527936,1.867,2.322,0.71,1.17,85,47,0.155,0.086,-0.129,-0.691,2.09315,0,3,1,16
113491998,1474132833924914,398136079,-1052143642,1784929,0,0.374,0.527976,1.863,2.317,0.71,1.17,85,47,0.233,-0.114,-0.203,-0.741,2.09315,0,3,1,16
113689213,1474132833924914,398136073,-1052143648,1785098,0,0.383,0.528015,1.859,2.314,0.72,1.17,85,47,0.153,-0.086,-0.126,-0.745,2.09315,0,3,1,15
113908866,1474132834924980,398136067,-1052143653,1785188,0,0.384,0.528046,1.855,2.309,0.72,1.17,85,47,0.154,-0.139,-0.067,-0.557,2.09315,0,3,1,15
114149975,1474132834924980,398136064,-1052143650,1785235,0,0.455,0.52808,1.85,2.304,0.71,1.17,85,45,0.368,-0.168,0.327,-0.539,2.09315,0,3,1,16
114299797,1474132834924980,398136059,-1052143641,1785324,0,0.451,0.616494,1.844,2.294,0.71,1.17,85,45,0.563,-0.252,0.504,-0.391,2.06842,0,3,1,16
114492586,1474132834924980,398136054,-1052143627,1785425,0,0.466,0.517695,1.838,2.284,0.71,1.17,85,45,0.645,-0.159,0.625,-0.462,1.92242,0,3,1,16
114700566,1474132834924980,398136054,-1052143606,1785476,0,0.448,0.305767,1.832,2.274,0.71,1.17,85,45,1.069,0.104,1.064,-0.512,1.58979,0,3,1,16
114903563,1474132835925045,398136052,-1052143583,1785667,0,0.466,0.411477,1.827,2.266,0.71,1.17,85,45,0.8,0.08,0.796,-0.427,1.54724,0,3,1,16
