timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid,quat_reset_counter
130241270,0.0462691,-0.430078,-9.80154,-0.00694071,0.0543679,-0.130129,-0.0412989,-0.024925,1.83404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707278,-0.0160324,-0.0179945,-0.706525,0.999153,-0.00386212,-0.0106643,0.0395665,0.00104872,-0.000301596,-0.00150311,0.101686,0,2
130265559,0.0711441,-0.42695,-9.80989,-0.00653937,0.0541772,-0.129745,-0.041435,-0.0247026,1.83472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707293,-0.0160332,-0.0179897,-0.70651,0.999153,-0.00386212,-0.0106643,0.0395665,0.0011547,-0.000579499,-0.00201704,0.0977329,0,2
130285300,0.0171911,-0.426763,-9.79817,-0.00676164,0.0539873,-0.129106,-0.0413461,-0.0244408,1.83613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70733,-0.0160398,-0.0179888,-0.706472,0.999153,-0.00386212,-0.0106643,0.0395665,0.00241346,-0.00107755,-0.00469739,0.100725,0,2
130305310,0.0975358,-0.462939,-9.7789,-0.00614706,0.0533054,-0.127954,-0.0412758,-0.0241687,1.83771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707348,-0.0160368,-0.0179654,-0.706455,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00056216,-0.00277905,-0.0044681,0.0920048,0,2
130325271,0.035121,-0.436347,-9.83901,-0.00636243,0.0533756,-0.127557,-0.0411039,-0.0239207,1.83945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707364,-0.0160185,-0.0179819,-0.706439,0.999153,-0.00386212,-0.0106643,0.0395665,0.00179922,0.00258685,-0.00136139,0.0987642,0,2
130349342,-0.000662319,-0.321796,-9.80811,-0.00546456,0.053247,-0.12639,-0.0410799,-0.0237158,1.84083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707369,-0.0160218,-0.0179823,-0.706434,0.999153,-0.00386212,-0.0106643,0.0395665,0.00206768,5.60408e-05,-0.00200284,0.0955715,0,2
130369253,-0.0064427,-0.468786,-9.76331,-0.00638223,0.0525735,-0.126,-0.0409755,-0.0234423,1.84243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707411,-0.0160363,-0.017984,-0.706391,0.999153,-0.00386212,-0.0106643,0.0395665,0.00364453,-0.00204869,-0.00359574,0.104276,0,2
130389762,0.0328667,-0.43722,-9.83843,-0.00485806,0.0529422,-0.124483,-0.0407728,-0.0231917,1.84448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707369,-0.016003,-0.0179663,-0.706435,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00193681,0.000667617,0.000703046,0.105124,0,2
130410469,0.129802,-0.334447,-9.63536,-0.00611932,0.0529669,-0.123543,-0.0405899,-0.0229446,1.84708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70745,-0.0160082,-0.0179634,-0.706353,0.999153,-0.00386212,-0.0106643,0.0395665,0.00151321,-0.000841966,-0.00845275,0.122452,0,2
130433314,-0.0183824,-0.0294494,-9.72716,-0.00554186,0.0533838,-0.122841,-0.0406665,-0.0227082,1.84967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707447,-0.0159396,-0.0179876,-0.706357,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00169269,0.00893473,-0.00180977,0.145198,0,2
130453801,0.137616,-0.331928,-9.85667,-0.00482651,0.0516698,-0.121373,-0.0404413,-0.0224836,1.85292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707453,-0.0159934,-0.0179702,-0.70635,0.999153,-0.00386212,-0.0106643,0.0395665,0.00593417,-0.00832872,-0.00188438,0.163556,0,2
130473863,0.184315,-0.234464,-9.88927,-0.0055369,0.0526284,-0.120262,-0.0403555,-0.022222,1.85579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707441,-0.0160083,-0.0179961,-0.706362,0.999153,-0.00386212,-0.0106643,0.0395665,0.00816667,-0.00200553,-0.000195419,0.183886,0,2
130493848,0.0736605,-0.108653,-9.83657,-0.00524639,0.0527639,-0.118858,-0.0401724,-0.0219912,1.85856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70746,-0.0159834,-0.0179854,-0.706343,0.999153,-0.00386212,-0.0106643,0.0395665,0.00139735,0.000264834,-0.00511675,0.197375,0,2
130517396,-0.145828,-0.696658,-9.65562,-0.00655659,0.0522016,-0.117274,-0.0403715,-0.0217477,1.86052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707446,-0.0159745,-0.0180071,-0.706357,0.999153,-0.00386212,-0.0106643,0.0395665,0.00252168,0.00351431,0.000809975,0.234122,0,2
130537337,0.255282,-0.523987,-9.70316,-0.00482358,0.051177,-0.116007,-0.0402441,-0.0215106,1.86318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707462,-0.0160228,-0.0180092,-0.706341,0.999153,-0.00386212,-0.0106643,0.0395665,0.00246884,-0.00494985,-0.00211893,0.23031,0,2
130557365,0.0717988,-0.321672,-9.8097,-0.00488763,0.0521449,-0.115203,-0.0400162,-0.0212951,1.86608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707446,-0.0160339,-0.0179748,-0.706357,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00237267,-0.00399252,-0.00122716,0.234207,0,2
130577336,-0.148225,-0.526139,-9.75209,-0.00635421,0.0525508,-0.114656,-0.0399296,-0.0210428,1.86863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707532,-0.0160161,-0.0180247,-0.70627,0.999153,-0.00386212,-0.0106643,0.0395665,0.00304279,0.0063701,-0.00694655,0.256766,0,2
130601288,-0.273193,-0.276597,-9.78598,-0.00461673,0.0513054,-0.113284,-0.0399767,-0.0208352,1.87142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707505,-0.0160445,-0.0180094,-0.706297,0.999153,-0.00386212,-0.0106643,0.0395665,0.0025313,-0.000540683,1.33704e-05,0.274724,0,2
130622431,0.382127,-0.477669,-9.83073,-0.00480425,0.0515048,-0.112948,-0.0398329,-0.0206064,1.87453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707524,-0.0160792,-0.0179956,-0.706278,0.999153,-0.00386212,-0.0106643,0.0395665,0.00568907,-0.00602191,0.00364662,0.284048,0,2
