timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
130235419,130235419,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130246724,130246724,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130254404,130254404,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130266559,130266559,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130274646,130274646,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130281933,130281933,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130291672,130291672,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130298698,130298698,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130310168,130310168,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130318923,130318923,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130326128,130326128,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130335925,130335925,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130345855,130345855,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130352300,130352300,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130361933,130361933,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130373932,130373932,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130383410,130383410,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130390395,130390395,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130397957,130397957,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130406142,130406142,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130417959,130417959,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130426391,130426391,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130434298,130434298,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130442113,130442113,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130454393,130454393,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
130462340,130462340,18,255,0,0,0,1494,1493,994,2006,982,982,982,982,874,874,874,874,874,874,874,874,998,998,0,0,9
