timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
130228926,0.00755308,0.00110005,0.00184287,0.003997,0,-0.0393263,-0.388176,-9.74264,0.003997,-5642,0.0342922,-0.3818,0.753192,-2387,1769.66,35.33
130232926,0.00468337,0.00110173,0.0016002,0.004,0,-0.0511154,-0.383554,-9.73883,0.004,-1534,0.0230051,-0.364953,0.72477,-6387,1769.66,35.33
130236926,0.00212806,-0.000378705,0.000911804,0.004,0,-0.0499091,-0.398528,-9.73737,0.004,-5534,0.0230051,-0.364953,0.72477,-10387,1769.66,35.33
130240926,0.00341728,-0.000469099,-0.000140802,0.004,0,-0.0335715,-0.405878,-9.74352,0.004,-2238,0.0653746,-0.374675,0.73506,-14387,1769.66,35.33
130244926,0.00745882,-0.00100477,0.00010568,0.004,0,-0.0273178,-0.406401,-9.76793,0.004,-6238,0.0653746,-0.374675,0.73506,-18387,1769.66,35.33
130248926,0.00766764,0.00111495,0.000567253,0.004,0,-0.0364468,-0.402519,-9.76544,0.004,-2161,0.0433845,-0.340674,0.745366,-22387,1769.66,35.33
130252926,0.00522251,0.00228908,0.000347305,0.004,0,-0.034378,-0.408887,-9.75881,0.004,-6161,0.0433845,-0.340674,0.745366,-26387,1769.66,35.33
130256926,0.00617033,0.00036812,0.00117828,0.004,0,-0.0412136,-0.411268,-9.74414,0.004,-2476,0.0382111,-0.369413,0.747714,-30387,1769.66,35.33
130260926,0.00213869,-0.00113964,0.00121842,0.004,0,-0.0393345,-0.406524,-9.74743,0.004,-6476,0.0382111,-0.369413,0.747714,-34387,1769.66,35.33
130264926,0.00233804,-0.000916585,0.00122456,0.004,0,-0.00881802,-0.402713,-9.75179,0.004,-3086,0.0335711,-0.36728,0.699132,-38387,1769.66,35.33
130268926,0.0028895,0.000172267,-0.000455382,0.004,0,-0.052886,-0.419386,-9.76481,0.004,-7086,0.0335711,-0.36728,0.699132,-42387,1769.66,35.33
130272926,0.00430272,0.00139196,-0.0034018,0.004,0,-0.0590969,-0.37534,-9.7295,0.004,-2543,0.0427852,-0.0676633,0.679678,-46387,1769.66,35.33
130276926,0.00633268,-0.000519961,-0.00373021,0.004,0,-0.0423951,-0.385603,-9.76068,0.004,-6543,0.0427852,-0.0676633,0.679678,-50387,1769.66,35.33
130280926,0.00866228,-0.000639407,-0.00285602,0.004,0,-0.0684076,-0.412913,-9.75686,0.004,-1703,-0.0340147,-0.179669,0.761383,-1928,1769.86,35.32
130284926,0.00653165,-0.00115215,-0.00373811,0.004,0,-0.0625596,-0.402647,-9.74023,0.004,-5703,-0.0340147,-0.179669,0.761383,-5928,1769.86,35.32
130288926,-0.00217316,0.0022713,-0.00536901,0.004,0,-0.0403352,-0.391265,-9.7296,0.004,-2989,-0.0662506,-0.271328,0.76674,-9928,1769.86,35.32
130292926,0.00388506,-0.00220847,-0.00452654,0.004,0,-0.0112056,-0.401907,-9.7425,0.004,-6989,-0.0662506,-0.271328,0.76674,-13928,1769.86,35.32
130296926,7.27446e-06,-0.00143389,0.000233481,0.004,0,-0.0128273,-0.436633,-9.71355,0.004,-2354,0.00853352,-0.365427,0.754609,-17928,1769.86,35.32
130300926,0.00634912,-0.00437284,0.0047224,0.004,0,-0.0309119,-0.456187,-9.72977,0.004,-6354,0.00853352,-0.365427,0.754609,-21928,1769.86,35.32
130304927,0.00922085,0.000732563,0.00462229,0.004001,0,0.0176628,-0.438787,-9.72088,0.004001,-2833,0.0225828,-0.343723,0.765098,-215,1769.66,35.32
130308927,0.00625583,0.00519529,0.00456123,0.004,0,-0.00503578,-0.432397,-9.76657,0.004,-220,0.0120772,-0.345405,0.78496,-4215,1769.66,35.32
130312927,0.00690989,0.0049314,0.00168336,0.004,0,-0.0638552,-0.394031,-9.7558,0.004,-4220,0.0120772,-0.345405,0.78496,-8215,1769.66,35.32
130316926,0.0054497,0.00348747,-0.00133439,0.003999,0,-0.0836158,-0.330883,-9.74526,0.003999,-140,-0.0777494,-0.149564,0.758544,-12214,1769.66,35.32
130320926,0.00344398,0.00255276,-0.00275341,0.004,0,-0.0872576,-0.352154,-9.78391,0.004,-4140,-0.0777494,-0.149564,0.758544,-16214,1769.66,35.32
130324927,0.00396901,-0.00160019,-0.0023873,0.004001,0,-0.0448574,-0.412193,-9.78091,0.004001,-193,-0.0323541,-0.358144,0.725727,-20215,1769.66,35.32
130328926,0.00298641,-0.000566438,-0.000679214,0.003999,0,-0.0179195,-0.42497,-9.73678,0.003999,-4192,-0.0323541,-0.358144,0.725727,-24214,1769.66,35.32
130332926,0.0108704,-0.000348788,-0.00101722,0.004,0,0.0125089,-0.467592,-9.73135,0.004,-1161,0.0128729,0.0890395,0.708981,-2748,1769.66,35.32
130336927,0.00415528,0.00090389,0.000527132,0.004001,0,0.0443455,-0.466206,-9.72937,0.004001,-5162,0.0128729,0.0890395,0.708981,-6749,1769.66,35.32
130340927,0.00722709,0.00206284,0.00132377,0.004,0,0.0126199,-0.401739,-9.70542,0.004,-1785,-0.00987627,-0.442552,0.791766,-10749,1769.66,35.32
130344926,0.00379584,0.00169454,0.00436776,0.003999,0,-0.0173511,-0.34911,-9.7377,0.003999,-5784,-0.00987627,-0.442552,0.791766,-14748,1769.66,35.32
130348933,0.00441407,-0.00194644,0.00580686,0.004007,0,-0.0804481,-0.29773,-9.75016,0.004007,-3042,0.0167964,-0.288076,0.703065,-18755,1769.66,35.32
130352926,0.00678124,-3.87161e-06,0.0042636,0.003993,0,-0.0515217,-0.350433,-9.78791,0.003993,-7035,0.0167964,-0.288076,0.703065,-22748,1769.66,35.32
