timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
130261292,0,0.0,0.0,130261373,0.0,0.0,1.83523,0.0,0.0,0.0,-0.0601816,-0.00700866,-0.126918,0.0,0.0,0.0,1.56976,0.0,0.157473,0.126918,0.153721,0.267376,0,1,0,1,0,0,0,0,0,1,0
130361305,0,0.0,0.0,130361386,0.0,0.0,1.84142,0.0,0.0,0.0,-0.0592523,-0.00624053,-0.123784,0.0,0.0,0.0,1.56952,0.0,0.160657,0.123784,0.153266,0.267114,0,1,0,1,0,0,0,0,0,1,0
130465863,0,0.0,0.0,130465944,0.0,0.0,1.85418,0.0,0.0,0.0,-0.0576402,-0.00718229,-0.116886,0.0,0.0,0.0,1.56937,0.0,0.17038,0.116886,0.153652,0.267402,0,1,0,1,0,0,0,0,0,1,0
130565330,0,0.0,0.0,130565512,0.0,0.0,1.86518,0.0,0.0,0.0,-0.0563219,-0.00535686,-0.112731,0.0,0.0,0.0,1.56934,0.0,0.166092,0.112731,0.151911,0.266295,0,1,0,1,0,0,0,0,0,1,0
130665628,0,0.0,0.0,130665750,0.0,0.0,1.88019,0.0,0.0,0.0,-0.0579362,-0.00600558,-0.107421,0.0,0.0,0.0,1.56904,0.0,0.162256,0.107421,0.152663,0.266832,0,1,0,1,0,0,0,0,0,1,0
130769335,0,0.0,0.0,130769496,0.0,0.0,1.88983,0.0,0.0,0.0,-0.057643,-0.00630162,-0.101928,0.0,0.0,0.0,1.56904,0.0,0.163111,0.101928,0.153723,0.267556,0,1,0,1,0,0,0,0,0,1,0
130869368,0,0.0,0.0,130869533,0.0,0.0,1.90545,0.0,0.0,0.0,-0.0562611,-0.00560431,-0.0965057,0.0,0.0,0.0,1.56915,0.0,0.160419,0.0965057,0.150583,0.265454,0,1,0,1,0,0,0,0,0,1,0
130969311,0,0.0,0.0,130969392,0.0,0.0,1.9183,0.0,0.0,0.0,-0.0555731,-0.00287843,-0.0942082,0.0,0.0,0.0,1.56949,0.0,0.143221,0.0942082,0.151289,0.26597,0,1,0,1,0,0,0,0,0,1,0
131073799,0,0.0,0.0,131073880,0.0,0.0,1.92814,0.0,0.0,0.0,-0.0548887,-0.00313227,-0.0937361,0.0,0.0,0.0,1.56977,0.0,0.138013,0.0937361,0.152107,0.266509,0,1,0,1,0,0,0,0,0,1,0
131174377,0,0.0,0.0,131174458,0.0,0.0,1.93286,0.0,0.0,0.0,-0.0556119,-0.00397725,-0.0950744,0.0,0.0,0.0,1.56993,0.0,0.124619,0.0950744,0.151312,0.265958,0,1,0,1,0,0,0,0,0,1,0
131274940,0,0.0,0.0,131275117,0.0,0.0,1.93368,0.0,0.0,0.0,-0.0556411,-0.00275648,-0.0981871,0.0,0.0,0.0,1.57007,0.0,0.119499,0.0981871,0.150159,0.265145,0,1,0,1,0,0,0,0,0,1,0
131380192,0,0.0,0.0,131380273,0.0,0.0,1.93349,0.0,0.0,0.0,-0.053592,-0.00403955,-0.0990893,0.0,0.0,0.0,1.57008,0.0,0.114229,0.0990893,0.150271,0.265162,0,1,0,1,0,0,0,0,0,1,0
131478901,0,0.0,0.0,131478981,0.0,0.0,1.93247,0.0,0.0,0.0,-0.0541183,-0.0026902,-0.100282,0.0,0.0,0.0,1.57002,0.0,0.126842,0.100282,0.152221,0.266474,0,1,0,1,0,0,0,0,0,1,0
131579509,0,0.0,0.0,131579590,0.0,0.0,1.93206,0.0,0.0,0.0,-0.0530387,1.04675e-05,-0.1018,0.0,0.0,0.0,1.5699,0.0,0.117071,0.1018,0.152351,0.266529,0,1,0,1,0,0,0,0,0,1,0
131682929,0,0.0,0.0,131683081,0.0,0.0,1.93194,0.0,0.0,0.0,-0.0541279,-0.00154177,-0.104921,0.0,0.0,0.0,1.56983,0.0,0.121787,0.104921,0.153255,0.267083,0,1,0,1,0,0,0,0,0,1,0
131782918,0,0.0,0.0,131782999,0.0,0.0,1.93277,0.0,0.0,0.0,-0.0526112,-0.00178808,-0.106986,0.0,0.0,0.0,1.56963,0.0,0.127493,0.106986,0.152904,0.266812,0,1,0,1,0,0,0,0,0,1,0
131883450,0,0.0,0.0,131883531,0.0,0.0,1.93379,0.0,0.0,0.0,-0.052847,-0.00153277,-0.109115,0.0,0.0,0.0,1.5695,0.0,0.126691,0.109115,0.152961,0.266812,0,1,0,1,0,0,0,0,0,1,0
131987598,0,0.0,0.0,131987679,0.0,0.0,1.93303,0.0,0.0,0.0,-0.0536325,-0.000406295,-0.109895,0.0,0.0,0.0,1.56945,0.0,0.124791,0.109895,0.152615,0.266547,0,1,0,1,0,0,0,0,0,1,0
132086904,0,0.0,0.0,132086985,0.0,0.0,1.93283,0.0,0.0,0.0,-0.0519141,0.000688057,-0.111553,0.0,0.0,0.0,1.56953,0.0,0.127674,0.111553,0.151371,0.265712,0,1,0,1,0,0,0,0,0,1,0
132192236,0,0.0,0.0,132192321,0.0,0.0,1.93074,0.0,0.0,0.0,-0.0525032,-4.48074e-05,-0.114428,0.0,0.0,0.0,1.56957,0.0,0.122333,0.114428,0.151704,0.265955,0,1,0,1,0,0,0,0,0,1,0
132292224,0,0.0,0.0,132292305,0.0,0.0,1.93297,0.0,0.0,0.0,-0.0529114,0.000908228,-0.115966,0.0,0.0,0.0,1.56953,0.0,0.13482,0.115966,0.150988,0.265423,0,1,0,1,0,0,0,0,0,1,0
132391234,0,0.0,0.0,132391389,0.0,0.0,1.93854,0.0,0.0,0.0,-0.0520695,0.0028857,-0.117026,0.0,0.0,0.0,1.56943,0.0,0.140864,0.117026,0.151037,0.265424,0,1,0,1,0,0,0,0,0,1,0
132495432,0,0.0,0.0,132495522,0.0,0.0,1.94564,0.0,0.0,0.0,-0.054458,0.00278145,-0.117912,0.0,0.0,0.0,1.56945,0.0,0.142987,0.117912,0.154671,0.267798,0,1,0,1,0,0,0,0,0,1,0
132595490,0,0.0,0.0,132595570,0.0,0.0,1.95082,0.0,0.0,0.0,-0.0552263,0.00247704,-0.119159,0.0,0.0,0.0,1.56936,0.0,0.139212,0.119159,0.153373,0.266953,0,1,0,1,0,0,0,0,0,1,0
