timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
33720489,33719893,-0.00740189,0.0212094,-0.000799887,0.0,0.0,0.0,0.0,-1.0
33828416,33827893,-0.00598139,0.0219849,-0.00108904,0.0,0.0,0.0,0.0,-1.0
33848434,33847893,-0.00737344,0.0199929,-0.000831491,0.0,0.0,0.0,0.0,-1.0
33868533,33867893,-0.00812288,0.0197444,-0.00118394,0.0,0.0,0.0,0.0,-1.0
33892840,33891945,-0.00436415,0.0214475,-0.00119148,0.0,0.0,0.0,0.0,-1.0
33912553,33911894,-0.00880106,0.0206703,-0.000202904,0.0,0.0,0.0,0.0,-1.0
33932576,33931893,-0.00816185,0.0195389,-0.00273193,0.0,0.0,0.0,0.0,-1.0
33952779,33951893,-0.00756112,0.0190752,-0.00102342,0.0,0.0,0.0,0.0,-1.0
33976442,33975931,-0.00813425,0.0214641,-0.00120874,0.0,0.0,0.0,0.0,-1.0
33996584,33995894,-0.00862201,0.0191369,-0.00144295,0.0,0.0,0.0,0.0,-1.0
34016464,34015893,-0.00975753,0.0214296,-0.00268604,0.0,0.0,0.0,0.0,-1.0
34036622,34035941,-0.00985274,0.0214367,-9.72131e-05,0.0,0.0,0.0,0.0,-1.0
34056447,34055893,-0.00658916,0.019044,-0.00265756,0.0,0.0,0.0,0.0,-1.0
34081880,34079891,-0.0106004,0.0230278,0.00205189,0.0,0.0,0.0,0.0,-1.0
34101927,34099899,-0.00673045,0.0176789,-0.00440564,0.0,0.0,0.0,0.0,-1.0
34122017,34119927,-0.00953303,0.0220973,0.000566905,0.0,0.0,0.0,0.0,-1.0
34144445,34143931,-0.00379043,0.0193027,-0.00261455,0.0,0.0,0.0,0.0,-1.0
34164386,34163893,-0.00799135,0.0225085,0.000602971,0.0,0.0,0.0,0.0,-1.0
34184418,34183893,-0.011851,0.0156066,-0.00421015,0.0,0.0,0.0,0.0,-1.0
34204603,34203893,-0.00733796,0.0210295,0.00224161,0.0,0.0,0.0,0.0,-1.0
34228395,34227900,0.000948624,0.0250204,-0.0034547,0.0,0.0,0.0,0.0,-1.0
34248404,34247893,-0.0141764,0.0119484,-0.000461425,0.0,0.0,0.0,0.0,-1.0
34268434,34267893,-0.0132879,0.0181562,-0.00293737,0.0,0.0,0.0,0.0,-1.0
34288561,34287893,-0.0104104,0.0218773,-0.00130089,0.0,0.0,0.0,0.0,-1.0
34312477,34311912,-0.0100174,0.0198535,-0.00235856,0.0,0.0,0.0,0.0,-1.0
34332455,34331893,-0.00727662,0.026286,-0.00204498,0.0,0.0,0.0,0.0,-1.0
34352793,34351894,-0.0076589,0.0245767,-0.00114623,0.0,0.0,0.0,0.0,-1.0
34372625,34371893,-9.89838e-05,0.0301799,-0.00149864,0.0,0.0,0.0,0.0,-1.0
34396567,34395919,-0.00962436,0.0262909,-0.00208788,0.0,0.0,0.0,0.0,-1.0
34416405,34415903,-0.00605632,0.0293034,-0.00180435,0.0,0.0,0.0,0.0,-1.0
34436430,34435898,-0.00868583,0.0256692,-0.00213817,0.0,0.0,0.0,0.0,-1.0
34456628,34455894,-0.0079999,0.026925,-0.0019096,0.0,0.0,0.0,0.0,-1.0
34480475,34479931,-0.0119957,0.018513,-0.00235582,0.0,0.0,0.0,0.0,-1.0
34500482,34499893,-0.0102867,0.0173665,-0.00196435,0.0,0.0,0.0,0.0,-1.0
34520506,34519893,-0.0107428,0.0186736,-0.00156563,0.0,0.0,0.0,0.0,-1.0
34540766,34539893,-0.00655915,0.0202204,-0.00166003,0.0,0.0,0.0,0.0,-1.0
34564455,34563931,-0.00534757,0.0243829,-0.00188993,0.0,0.0,0.0,0.0,-1.0
34584390,34583909,-0.00728194,0.0212909,-0.00235229,0.0,0.0,0.0,0.0,-1.0
34604471,34603894,-0.00996434,0.0165211,-0.00209692,0.0,0.0,0.0,0.0,-1.0
34624550,34623893,-0.0118087,0.0172415,-0.00191557,0.0,0.0,0.0,0.0,-1.0
34648408,34647892,-0.00352958,0.0255459,-0.00176326,0.0,0.0,0.0,0.0,-1.0
34668402,34667893,-0.0101109,0.0198042,-0.00306855,0.0,0.0,0.0,0.0,-1.0
34688439,34687893,-0.00980342,0.0200569,-0.00160278,0.0,0.0,0.0,0.0,-1.0
34708586,34707893,-0.00659455,0.0189571,-0.00227107,0.0,0.0,0.0,0.0,-1.0
34732601,34731893,-0.0103199,0.0199234,-0.00198403,0.0,0.0,0.0,0.0,-1.0
34752894,34751893,-0.00968197,0.0168371,-0.002196,0.0,0.0,0.0,0.0,-1.0
34773004,34771893,-0.00705003,0.0210389,-0.00254556,0.0,0.0,0.0,0.0,-1.0
34793111,34791893,-0.0074046,0.0205653,-0.00207771,0.0,0.0,0.0,0.0,-1.0
34816393,34815897,-0.00905074,0.0221308,-0.00234114,0.0,0.0,0.0,0.0,-1.0
34836414,34835893,-0.0096349,0.0204948,-0.00217712,0.0,0.0,0.0,0.0,-1.0
34856440,34855893,-0.00917414,0.01828,-0.00248195,0.0,0.0,0.0,0.0,-1.0
34877137,34875893,-0.00383407,0.0229074,-0.00189749,0.0,0.0,0.0,0.0,-1.0
34900503,34899931,-0.0104878,0.02107,-0.00292104,0.0,0.0,0.0,0.0,-1.0
34921211,34920693,-0.00689152,0.0211889,-0.00213537,0.0,0.0,0.0,0.0,-1.0
34941248,34940693,-0.00656098,0.0188299,-0.00184298,0.0,0.0,0.0,0.0,-1.0
34961226,34960693,-0.00925921,0.0242627,-0.00295207,0.0,0.0,0.0,0.0,-1.0
34983231,34980693,-0.00711037,0.0207582,-0.00248381,0.0,0.0,0.0,0.0,-1.0
35005243,35004693,-0.00733522,0.022957,-0.00235946,0.0,0.0,0.0,0.0,-1.0
35025269,35024693,-0.00822124,0.025403,-0.0025836,0.0,0.0,0.0,0.0,-1.0
35045273,35044693,-0.00895395,0.0141099,-0.0023062,0.0,0.0,0.0,0.0,-1.0
35065216,35064693,-0.00512186,0.0236988,-0.00227605,0.0,0.0,0.0,0.0,-1.0
35089294,35088693,-0.00771556,0.0184425,-0.00252965,0.0,0.0,0.0,0.0,-1.0
35109263,35108693,-0.00720219,0.0188759,-0.00243342,0.0,0.0,0.0,0.0,-1.0
35129205,35128693,-0.00666125,0.0246336,-0.00290544,0.0,0.0,0.0,0.0,-1.0
