timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
33720180,12.65,12.6869,0.5274,0.101906,0.825714,1.0,1.0,3,1,0
34041326,12.683,12.6775,2.0803,0.389944,0.891578,1.0,1.0,3,1,0
34340201,12.562,12.6579,2.1096,1.03937,1.06053,0.999921,1.00002,3,1,0
34640212,12.529,12.6376,1.9045,1.397,1.22277,0.998011,1.00038,3,1,0
34940867,12.573,12.618,1.9338,1.60727,1.38405,0.995549,1.00085,3,1,0
35240854,12.606,12.6136,1.9338,1.72726,1.54305,0.998146,1.00035,3,1,0
35540857,12.771,12.6029,1.8752,1.75808,1.69415,0.99712,1.00055,3,1,0
35840990,12.507,12.5991,1.9924,1.81785,1.8534,0.998219,1.00034,3,1,0
36140860,12.518,12.5906,1.8752,1.82495,2.00718,0.996754,1.00062,3,1,0
36441641,12.54,12.5784,2.5491,2.00258,2.19547,0.993714,1.0012,3,1,0
36741635,12.386,12.5612,2.9886,2.20428,2.40273,0.988425,1.00221,3,1,0
37041676,12.54,12.5449,2.7542,2.47707,2.64441,0.983386,1.00317,3,1,0
37353683,12.452,12.5338,3.516,2.83805,2.93352,0.980675,1.00369,3,1,0
37654465,12.43,12.5148,4.6001,3.32662,3.26994,0.974791,1.00482,3,1,0
37954442,12.056,12.4909,5.0396,3.90656,3.66498,0.966911,1.00634,3,1,0
38254652,12.331,12.4674,5.4205,4.50966,4.11424,0.959248,1.00782,3,1,0
38554479,12.353,12.4325,6.2995,5.09115,4.60944,0.946722,1.01025,3,1,0
38854435,12.32,12.4006,6.5632,5.55914,5.13256,0.935204,1.0125,3,1,0
39155494,12.441,12.3594,8.1454,6.24218,5.73635,0.920021,1.01547,3,1,0
39455284,12.056,12.3235,8.9658,7.09366,6.43005,0.907044,1.01803,3,1,0
39755269,12.188,12.2707,9.8448,8.07101,7.22274,0.887023,1.02199,3,1,0
40056063,11.913,12.2352,11.3977,8.86835,8.06018,0.874047,1.02458,3,1,0
40356050,12.001,12.1948,12.1009,9.70535,8.97346,0.858925,1.02761,3,1,0
