timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
33697362,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
33949056,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34175635,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34402334,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34626962,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
34854100,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35083298,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35314241,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35539638,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35766072,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
35994867,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36219482,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36447622,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36670846,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
36900136,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
37126405,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
37353433,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
37578684,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
