timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
10091398,12.32,12.3774,1.1427,0.947942,1.7374,0.999353,1.0,3,1,0
10411287,12.188,12.3476,3.5746,1.99603,2.06546,0.999303,1.0,3,1,0
10711274,12.265,12.3291,3.0472,2.47525,2.33346,0.999235,1.0,3,1,0
11011275,12.221,12.313,3.2523,2.76019,2.59941,0.999155,1.0,3,1,0
11311367,12.265,12.2976,3.1937,2.92403,2.86386,0.999066,1.0,3,1,0
11611279,12.243,12.2859,3.1351,3.02582,3.12888,0.99897,1.0,3,1,0
11911210,12.221,12.2751,3.5746,3.09235,3.39465,0.998868,1.0,3,1,0
12211544,12.199,12.253,4.5415,3.7238,3.78672,0.998756,1.0,3,1,0
12512831,12.177,12.2271,6.1237,4.39111,4.23285,0.998627,1.0,3,1,0
12812959,12.089,12.196,7.7645,5.38802,4.804,0.998474,1.0,3,1,0
13112885,11.902,12.1469,10.0206,7.08363,5.603,0.998286,1.00001,3,1,0
13424835,11.891,12.0927,8.8193,8.21505,6.4601,0.998045,1.0003,3,1,0
13724865,11.979,12.0583,9.0244,8.53477,7.21132,0.997786,1.00007,3,1,0
14024848,11.704,11.9993,13.4487,10.0899,8.22969,0.988731,1.00181,3,1,0
14325046,11.781,11.9471,10.9582,11.0591,9.2838,0.978019,1.00354,3,1,0
14624939,11.781,11.9118,10.8703,11.1054,10.2129,0.970167,1.00481,3,1,0
14925166,11.759,11.8885,10.8703,11.1159,11.1403,0.966179,1.00546,3,1,0
15226458,11.704,11.8693,11.427,11.126,12.0717,0.962508,1.00605,3,1,0
15526512,11.748,11.8474,11.3391,11.14,13.002,0.9561,1.0071,3,1,0
15826452,11.891,11.8374,9.6397,10.8016,13.8658,0.9535,1.00752,3,1,0
16126493,11.781,11.8308,10.1964,10.4793,14.6972,0.951538,1.00784,3,1,0
16426681,11.825,11.8242,9.9913,10.3103,15.5342,0.94942,1.00818,3,1,0
16727272,11.88,11.8183,9.9327,10.1781,16.3682,0.947387,1.00852,3,1,0
17027559,11.77,11.8109,10.3136,10.1039,17.2009,0.944362,1.00901,3,1,0
17338425,11.726,11.802,10.3429,10.1548,18.0841,0.940599,1.00963,3,1,0
17638523,11.781,11.7951,10.4894,10.2091,18.9397,0.937976,1.01005,3,1,0
17940048,11.748,11.7794,11.1633,10.6565,19.8868,0.932034,1.01103,3,1,0
18240275,11.693,11.7599,11.3684,11.049,20.8581,0.924384,1.01228,3,1,0
18540040,11.726,11.7421,11.2805,11.2713,21.8256,0.917112,1.01348,3,1,0
18840053,11.704,11.7323,11.5149,11.4179,22.7961,0.913519,1.01408,3,1,0
19140128,11.616,11.7186,11.1926,11.4922,23.7649,0.907627,1.01505,3,1,0
19440598,11.638,11.7093,11.72,11.549,24.7353,0.90371,1.0157,3,1,0
19741700,11.748,11.7042,11.5735,11.5656,25.7054,0.901775,1.01602,3,1,0
20041038,11.671,11.6941,11.8958,11.6059,26.6753,0.897107,1.01679,3,1,0
20340053,11.671,11.6822,11.5442,11.5769,27.6333,0.891415,1.01774,3,1,0
20641790,11.638,11.6778,11.8665,11.5886,28.6063,0.889435,1.01807,3,1,0
20942186,11.781,11.6728,11.3684,11.5816,29.5708,0.887171,1.01844,3,1,0
21853650,11.627,11.6512,11.9544,11.692,32.5281,0.876835,1.02017,3,1,0
22153840,11.561,11.644,12.1009,11.8017,33.5267,0.873738,1.02068,3,1,0
22454357,11.627,11.6348,11.3391,11.7943,34.512,0.869358,1.02142,3,1,0
22754706,11.671,11.6439,10.0792,11.1339,35.3615,0.871815,1.02101,3,1,0
23053640,11.66,11.6514,10.1378,10.6847,36.191,0.873621,1.0207,3,1,0
23353803,11.649,11.6458,11.0461,10.8485,37.1151,0.870697,1.02119,3,1,0
23655913,11.638,11.6486,9.6983,10.5778,37.9742,0.870783,1.02118,3,1,0
23956229,11.671,11.6553,9.7862,10.3129,38.801,0.872793,1.02084,3,1,0
24255276,11.649,11.6589,9.7276,10.1365,39.6215,0.873525,1.02072,3,1,0
24555292,11.627,11.6602,10.6359,10.0898,40.4551,0.873427,1.02074,3,1,0
24855260,11.737,11.6541,10.9289,10.4113,41.363,0.870973,1.02115,3,1,0
25155385,11.638,11.6475,10.548,10.5666,42.2636,0.868135,1.02162,3,1,0
25455368,11.616,11.6415,10.9582,10.6917,43.1696,0.865446,1.02207,3,1,0
