timestamp,load,ram_usage
10089942,0.60581,0.884453
11095987,0.669548,0.884799
12102405,0.638555,0.883138
13113514,0.638757,0.882516
14120244,0.647743,0.884799
15128869,0.641737,0.883138
16136521,0.639625,0.882516
17142120,0.652523,0.884799
18150989,0.637757,0.883138
19157301,0.633266,0.882516
20163492,0.652382,0.884799
22178555,0.632334,0.882516
23185940,0.655509,0.884799
24192520,0.641125,0.883138
25200545,0.63715,0.882516
26206737,0.650958,0.884799
27212335,0.637505,0.883138
28219276,0.634765,0.882516
29224832,0.652623,0.884799
30232003,0.641246,0.883138
31237688,0.644444,0.882516
32244937,0.667844,0.884799
33250157,0.659415,0.883138
34256979,0.662277,0.882516
35264016,0.671817,0.884799
36272890,0.656815,0.883138
37279559,0.665262,0.882516
38285801,0.675596,0.884799
39293865,0.658892,0.883138
40304064,0.637278,0.882516
41311206,0.651321,0.884799
42320069,0.639149,0.883138
43326923,0.634253,0.883138
44333633,0.65155,0.884799
45340804,0.641852,0.883138
46348195,0.639313,0.883138
47357010,0.650988,0.884799
48363996,0.635138,0.883138
49371930,0.640604,0.883138
50378371,0.656744,0.884799
51384999,0.638328,0.883138
52393408,0.63617,0.883138
53399991,0.653592,0.884799
54406086,0.648105,0.883138
55413564,0.638702,0.883138
56420820,0.655316,0.884799
57427291,0.637139,0.883138
58435409,0.636406,0.883138
59443496,0.641141,0.884799
60451110,0.641445,0.884799
61457678,0.642904,0.883138
62466782,0.641036,0.884799
63472801,0.644923,0.884799
64479970,0.641743,0.883138
65486887,0.639013,0.882516
66493349,0.650293,0.884799
67500089,0.636317,0.883138
68505777,0.636464,0.882516
69512983,0.655051,0.884799
70523402,0.639408,0.883138
71530117,0.644496,0.882516
72535754,0.652952,0.884799
73545752,0.633681,0.883138
74552261,0.641496,0.882516
75564297,0.647985,0.884799
76570743,0.635168,0.883138
77576296,0.643343,0.882516
78583718,0.651322,0.884799
79590747,0.63569,0.883138
80600849,0.638177,0.882516
81607589,0.648233,0.884799
82614366,0.638359,0.883138
83624134,0.641169,0.882516
84630553,0.652257,0.884799
85637107,0.642676,0.883138
86643402,0.634093,0.882516
87649849,0.650117,0.884799
88659483,0.635122,0.883138
89671210,0.641556,0.882516
90678200,0.65603,0.884799
91684994,0.640803,0.883138
92691935,0.645962,0.882516
93698070,0.65314,0.884799
94704861,0.639839,0.883138
95711990,0.639459,0.883138
96720793,0.649956,0.884799
97726349,0.642622,0.883138
98736374,0.641128,0.883138
99744860,0.653939,0.884799
100751920,0.641254,0.883138
101761742,0.639808,0.883138
102768510,0.651249,0.884799
103776085,0.641162,0.883138
104783796,0.640621,0.883138
105792365,0.651009,0.884799
106805100,0.632682,0.883138
107814654,0.633117,0.883138
108821208,0.653376,0.884799
109827537,0.638157,0.883138
