timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
10131122,0.0187725,-0.0191978,-0.000980839,0.004008,0,-0.10942,-0.119513,-9.57578,0.004008,-5630,-0.524735,0.0851756,0.362546,-5804,-107.738,18.67
10211081,-0.00129894,0.0040374,-0.00385581,0.003967,0,0.273691,0.083137,-9.4124,0.003967,-5099,-0.334832,0.273285,0.180465,-5203,-107.738,18.66
10215114,-0.000650927,0.00767083,-0.0143553,0.004033,0,0.473836,0.128174,-9.4569,0.004033,-1464,-0.285712,0.241946,-7.87659e-06,-9236,-107.738,18.66
10219069,-0.00169221,0.00630231,-0.006943,0.003955,0,0.164975,-0.113212,-9.55922,0.003955,-5419,-0.285712,0.241946,-7.87659e-06,-13191,-107.738,18.66
10223114,-0.0145761,0.0113585,0.00422502,0.004045,0,-0.152487,-0.0756696,-9.65724,0.004045,-2401,-0.446861,0.290021,0.296844,-17236,-107.738,18.66
10227118,-0.00190441,0.0102801,0.000742226,0.004004,0,-0.196191,0.0664619,-9.42299,0.004004,-6405,-0.446861,0.290021,0.296844,-21240,-107.738,18.66
10231114,-0.00542487,0.00663495,-0.0037015,0.003996,0,0.214301,0.151188,-9.45629,0.003996,-2169,-0.468163,0.145488,0.113091,-361,-108.15,18.66
10235116,0.00972275,-0.00536804,-0.00391295,0.004002,0,0.282417,-0.140183,-9.43513,0.004002,-6171,-0.468163,0.145488,0.113091,-4363,-108.15,18.66
10239119,-0.00427127,-0.00266593,0.00375896,0.004003,0,-0.0182642,-0.183885,-9.4634,0.004003,-2320,-0.404894,0.727859,0.225142,-8366,-108.15,18.66
10243115,0.00825481,-0.00241283,-0.00312028,0.003996,0,-0.0741121,0.0204049,-9.92095,0.003996,-6316,-0.404894,0.727859,0.225142,-12362,-108.15,18.66
10247069,0.00485909,0.00246541,-0.00326446,0.003954,0,0.277548,0.174651,-9.2948,0.003954,-2232,-0.410594,0.532218,-0.00344594,-16316,-108.15,18.66
10251109,0.0124838,-0.00881409,0.00238919,0.00404,0,0.310036,0.0325634,-9.3639,0.00404,-6272,-0.410594,0.532218,-0.00344594,-20356,-108.15,18.66
10255068,0.00715038,-0.0111835,0.000653119,0.003959,0,-0.0634653,-0.207649,-9.48448,0.003959,-3152,-0.329335,0.161824,0.38198,-24315,-108.15,18.66
10259117,0.0026558,-0.00539102,-0.00398175,0.004049,0,-0.422316,-0.16725,-9.99379,0.004049,-140,-0.380032,0.589496,-0.00178163,-28364,-108.15,18.66
10263118,0.0091649,0.00489376,-0.0169164,0.004001,0,0.112763,0.240656,-9.2535,0.004001,-4141,-0.380032,0.589496,-0.00178163,-32365,-108.15,18.66
10267121,0.00407222,-0.00510961,-0.00335499,0.004003,0,0.411896,0.161915,-9.28968,0.004003,-113,-0.490934,0.274712,-0.266382,-36368,-108.15,18.66
10271114,0.00465146,-0.000925,0.00849371,0.003993,0,0.147442,-0.173564,-9.38196,0.003993,-4106,-0.490934,0.274712,-0.266382,-40361,-108.15,18.66
10275119,-0.00919742,-0.00240386,0.00219545,0.004005,0,-0.474926,-0.124697,-9.97339,0.004005,-57,-0.481764,0.227994,0.0705958,-44366,-108.15,18.66
10279119,0.00986022,0.0129224,-0.00940952,0.004,0,0.0465006,0.296856,-9.26032,0.004,-4057,-0.481764,0.227994,0.0705958,-48366,-108.15,18.66
10283068,0.00155503,-0.00295742,-0.0016215,0.003949,0,0.490924,-0.14063,-9.36559,0.003949,-909,-0.488722,0.614416,0.205426,-1003,-108.48,18.67
10287117,-0.00253189,0.00445184,0.010261,0.004049,0,-0.0482158,-0.0640255,-9.21566,0.004049,-4958,-0.488722,0.614416,0.205426,-5052,-108.48,18.67
10291068,-0.0116239,-0.000487341,-0.0077668,0.003951,0,-0.417327,0.0282574,-10.0305,0.003951,-972,-0.344707,-0.105451,0.103541,-9003,-108.48,18.67
10295114,0.00108708,0.0179182,-0.0090858,0.004046,0,0.082,0.238028,-9.32959,0.004046,-5018,-0.344707,-0.105451,0.103541,-13049,-108.48,18.67
10299118,0.00279946,0.0057158,0.00375769,0.004004,0,0.235071,-0.484541,-9.31028,0.004004,-1979,-0.372473,0.258631,0.474579,-17053,-108.48,18.67
10303117,-0.016939,0.00897579,0.006304,0.003999,0,-0.304726,-0.114042,-9.56018,0.003999,-5978,-0.372473,0.258631,0.474579,-21052,-108.48,18.67
10307114,-0.00992377,0.0118937,-0.0110177,0.003997,0,0.0229001,0.259139,-9.93094,0.003997,-2784,-0.465617,0.999749,0.629522,-25049,-108.48,18.67
10311118,-0.00721534,0.0183196,-0.00366167,0.004004,0,0.322187,0.138469,-9.33216,0.004004,-6788,-0.465617,0.999749,0.629522,-1999,-108.892,18.67
10315114,0.00315382,0.0106831,0.00904177,0.003996,0,0.192726,-0.240335,-9.12095,0.003996,-2899,-0.315117,0.734956,0.152682,-5995,-108.892,18.67
10319074,-0.01535,0.000286733,-0.000390654,0.00396,0,-0.284775,-0.0542561,-9.74398,0.00396,-6859,-0.315117,0.734956,0.152682,-9955,-108.892,18.67
10323115,-0.00452095,0.0138507,-0.00939977,0.004041,0,0.112795,0.389013,-9.7204,0.004041,-3553,-0.502665,0.469908,0.294551,-13996,-108.892,18.67
10327116,0.00239167,0.00255668,0.000884694,0.004001,0,0.217183,-0.331313,-9.22974,0.004001,-7554,-0.502665,0.469908,0.294551,-17997,-108.892,18.67
10331114,-0.0115541,0.00738992,0.00244419,0.003998,0,-0.274285,-0.159234,-9.42908,0.003998,-2030,-0.439504,0.0379815,0.215123,-21995,-108.892,18.67
10335118,-0.00623149,0.00433272,-0.0119478,0.004004,0,0.0276347,0.246929,-9.59873,0.004004,-6034,-0.439504,0.0379815,0.215123,-25999,-108.892,18.67
10339114,-0.00880729,0.0130121,-0.00651437,0.003996,0,0.331566,0.356265,-9.66156,0.003996,-3174,-0.450956,0.251748,-0.0719738,-3375,-108.644,18.67
10343114,0.00445906,0.00932485,0.00292545,0.004,0,0.0998893,-0.303749,-9.21359,0.004,-699,-0.494128,0.938587,0.37013,-7375,-108.644,18.67
10347118,-0.0198965,0.0130304,-0.00502796,0.004004,0,-0.171853,-0.155722,-9.76981,0.004004,-4703,-0.494128,0.938587,0.37013,-11379,-108.644,18.67
10351114,-0.00353507,0.0159186,-0.00361002,0.003996,0,0.265736,0.343304,-9.44536,0.003996,-687,-0.451068,0.470922,0.0901378,-15375,-108.644,18.67
10355068,-0.000797259,0.0088473,0.00941262,0.003954,0,0.117941,-0.503562,-9.27741,0.003954,-4641,-0.451068,0.470922,0.0901378,-19329,-108.644,18.67
10359114,-0.0126552,0.00740367,-2.4158e-05,0.004046,0,-0.391715,-0.0237156,-9.90783,0.004046,-1627,-0.379396,0.964202,0.259986,-23375,-108.644,18.67
10363069,-0.00138559,0.0097093,-0.00548692,0.003955,0,0.314791,0.357549,-9.25895,0.003955,-5582,-0.379396,0.964202,0.259986,-27330,-108.644,18.67
10367120,0.00130747,5.98552e-05,0.00242139,0.004051,0,0.428239,-0.137482,-9.47359,0.004051,-1614,-0.504817,0.616944,-0.16943,-31381,-108.644,18.67
10371117,0.00449835,-0.00520562,0.00244049,0.003997,0,-0.350797,0.00896686,-9.59116,0.003997,-5611,-0.504817,0.616944,-0.16943,-35378,-108.644,18.67
10375114,-0.00283692,0.00637787,-0.0033813,0.003997,0,0.265656,0.272288,-9.35714,0.003997,-1544,-0.28348,0.715332,0.297478,-39375,-108.644,18.67
10379116,0.00490177,-0.0039554,-0.0030905,0.004002,0,0.373054,0.101174,-9.64428,0.004002,-5546,-0.28348,0.715332,0.297478,-43377,-108.644,18.67
10383119,0.00766285,-0.00223399,-0.000255948,0.004003,0,-0.0441475,-0.121772,-9.09372,0.004003,-1518,-0.46768,0.312697,0.354553,-47380,-108.644,18.67
10387085,-0.00902528,0.0017427,-0.00413258,0.003966,0,-0.0668378,0.10581,-9.83513,0.003966,-5484,-0.46768,0.312697,0.354553,-51346,-108.644,18.67
10391069,0.0105105,0.00423911,-0.00801338,0.003984,0,0.442224,0.141343,-9.48687,0.003984,-1566,-0.318377,0.605495,0.426213,-1702,-108.974,18.67
10395114,0.00520468,-0.00844594,0.00104788,0.004045,0,-0.272796,-0.303887,-9.38669,0.004045,-5611,-0.318377,0.605495,0.426213,-5747,-108.974,18.67
10399069,-0.00160912,0.00740765,-0.00383081,0.003955,0,-0.103147,0.191817,-9.60753,0.003955,-3377,-0.331117,0.564329,0.498608,-9702,-108.974,18.67
10403114,0.00476716,-0.00650051,-0.00732787,0.004045,0,0.423971,0.228645,-9.48895,0.004045,-225,-0.519324,1.04499,0.375608,-13747,-108.974,18.67
10407118,0.00840798,0.00259876,0.000229116,0.004004,0,-0.107588,-0.498465,-9.54456,0.004004,-4229,-0.519324,1.04499,0.375608,-17751,-108.974,18.67
10411114,-0.018019,0.0125143,0.00091933,0.003996,0,-0.158404,0.0511813,-9.91481,0.003996,-353,-0.482681,0.651437,-0.0515693,-21747,-108.974,18.67
10415115,-0.00377315,0.0200411,-0.00428014,0.004001,0,0.552535,0.215472,-9.33115,0.004001,-4354,-0.482681,0.651437,-0.0515693,-1319,-108.974,18.67
10419119,-0.0137668,0.0126754,0.000416665,0.004004,0,-0.270058,-0.519852,-9.47722,0.004004,-375,-0.501887,0.336756,-0.309966,-5323,-108.974,18.67
10423114,-0.0264918,0.0250278,0.000632252,0.003995,0,-0.377132,0.122715,-9.88273,0.003995,-4370,-0.501887,0.336756,-0.309966,-9318,-108.974,18.67
10427069,-0.0183657,0.0267572,-0.00488622,0.003955,0,0.445773,0.192326,-9.20103,0.003955,-1207,-0.431834,0.262233,0.352288,-13273,-108.974,18.67
10431114,-0.0164759,0.019526,0.000952089,0.004045,0,-0.0748474,-0.492679,-9.67926,0.004045,-5252,-0.431834,0.262233,0.352288,-17318,-108.974,18.67
10435068,-0.0270044,0.0217477,0.00660078,0.003954,0,-0.420451,0.164685,-9.64329,0.003954,-2154,-0.459432,0.200353,-0.3165,-21272,-108.974,18.67
10439117,-0.0127623,0.0189418,-0.000580767,0.004049,0,0.520115,0.284969,-9.38909,0.004049,-6203,-0.459432,0.200353,-0.3165,-176,-109.056,18.67
10443119,-0.00513788,0.0110028,0.00298377,0.004002,0,-0.139728,-0.408958,-9.63005,0.004002,-2159,-0.298829,0.24773,0.0220586,-4178,-109.056,18.67
10447115,-0.0170419,0.0180899,0.00305621,0.003996,0,-0.24166,0.113814,-9.60246,0.003996,-6155,-0.298829,0.24773,0.0220586,-8174,-109.056,18.67
10451114,-0.00179993,0.00545342,-0.0050777,0.003999,0,0.496187,0.251216,-9.30774,0.003999,-2115,-0.509732,-0.0584643,0.23778,-12173,-109.056,18.67
10455086,0.00669283,-0.00579826,-0.00527245,0.003972,0,0.0188239,-0.321894,-9.68491,0.003972,-6087,-0.509732,-0.0584643,0.23778,-16145,-109.056,18.67
10459114,0.00218648,-0.0050097,0.0016847,0.004028,0,-0.155867,0.34321,-9.7219,0.004028,-2061,-0.33442,0.00297396,-0.118723,-20173,-109.056,18.67
10463119,0.0240241,-0.0111186,-0.00249616,0.004005,0,0.555452,0.268808,-9.26692,0.004005,-6066,-0.33442,0.00297396,-0.118723,-24178,-109.056,18.67
10467114,0.0240671,-0.0229051,-0.00160064,0.003995,0,-0.0440651,-0.295616,-9.50723,0.003995,-1967,-0.453654,0.492872,0.0994755,-28173,-109.056,18.67
10471068,0.0142539,-0.018692,0.000910053,0.003954,0,-0.279384,0.192218,-9.50903,0.003954,-5921,-0.453654,0.492872,0.0994755,-32127,-109.056,18.67
10475114,0.0260921,-0.0244349,-0.00913255,0.004046,0,0.403413,0.113446,-9.44875,0.004046,-2968,-0.399517,1.1138,0.0566279,-36173,-109.056,18.67
10479119,0.0349671,-0.0322477,-0.00971357,0.004005,0,-0.226442,-0.316304,-9.75566,0.004005,-6973,-0.399517,1.1138,0.0566279,-40178,-109.056,18.67
10483114,0.0255992,-0.0301675,0.00188551,0.003995,0,-0.261671,0.213576,-9.56418,0.003995,-3427,-0.472123,0.0214955,0.116368,-44173,-109.056,18.67
10487117,0.042052,-0.0303811,-0.00462099,0.004003,0,0.558231,0.193089,-9.19975,0.004003,-7430,-0.472123,0.0214955,0.116368,-48176,-109.056,18.67
10491118,0.0402166,-0.0452231,-0.00377983,0.004001,0,-0.154986,-0.453088,-9.80436,0.004001,-2212,-0.424995,0.652533,0.201616,-52177,-109.056,18.67
10495114,0.0322376,-0.0308214,0.00812064,0.003996,0,-0.269497,0.151331,-9.5257,0.003996,-6208,-0.424995,0.652533,0.201616,-3593,-109.551,18.66
10499068,0.0425118,-0.0336526,-0.00641071,0.003954,0,0.516813,0.0748902,-9.43736,0.003954,-3317,-0.377238,0.612888,0.193585,-7547,-109.551,18.66
10503114,0.0393589,-0.0347061,-0.00889528,0.004046,0,-0.0783036,-0.275612,-9.60418,0.004046,-7363,-0.377238,0.612888,0.193585,-11593,-109.551,18.66
10507068,0.0287868,-0.0294511,0.00342897,0.003954,0,-0.438743,0.224717,-9.3818,0.003954,-3133,-0.415488,0.265836,0.229429,-15547,-109.551,18.66
10511114,0.0310998,-0.0248857,-0.0102689,0.004046,0,0.371148,0.152598,-9.48682,0.004046,-7179,-0.415488,0.265836,0.229429,-19593,-109.551,18.66
