timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
10113730,5.02895,0,1,1,0,0
10413729,4.94033,0,1,1,0,0
10713729,5.02412,0,1,1,0,0
11013729,4.96128,0,1,1,0,0
11313729,4.99512,0,1,1,0,0
11613729,5.02734,0,1,1,0,0
11913730,4.9645,0,1,1,0,0
12213734,4.99995,0,1,1,0,0
12513731,4.95806,0,1,1,0,0
12823735,5.01445,0,1,1,0,0
13123735,4.99995,0,1,1,0,0
13423736,5.02251,0,1,1,0,0
13723730,5.01768,0,1,1,0,0
14023729,4.98867,0,1,1,0,0
14323730,5.00156,0,1,1,0,0
14623730,5.00801,0,1,1,0,0
14923729,4.98384,0,1,1,0,0
15223729,5.02251,0,1,1,0,0
15523730,5.01445,0,1,1,0,0
15823730,5.00317,0,1,1,0,0
16133741,5.01929,0,1,1,0,0
16433730,4.99351,0,1,1,0,0
16733732,5.01606,0,1,1,0,0
17033729,5.01768,0,1,1,0,0
17333729,4.99351,0,1,1,0,0
17633731,5.01284,0,1,1,0,0
17933729,5.01445,0,1,1,0,0
18233729,4.98706,0,1,1,0,0
18533729,5.01929,0,1,1,0,0
18843771,5.01445,0,1,1,0,0
19143734,4.99512,0,1,1,0,0
19443729,5.02412,0,1,1,0,0
19743737,5.01929,0,1,1,0,0
20043729,5.00962,0,1,1,0,0
20343729,5.01768,0,1,1,0,0
20643729,5.01768,0,1,1,0,0
20943779,4.99512,0,1,1,0,0
21543733,5.0209,0,1,1,0,0
21853730,4.99189,0,1,1,0,0
22153730,5.01445,0,1,1,0,0
22453729,5.01929,0,1,1,0,0
22753730,4.99512,0,1,1,0,0
23053761,5.02251,0,1,1,0,0
23353729,5.01606,0,1,1,0,0
23653729,4.98867,0,1,1,0,0
23953730,5.01445,0,1,1,0,0
24253729,5.00962,0,1,1,0,0
24553729,4.99351,0,1,1,0,0
24853729,5.01606,0,1,1,0,0
25163729,4.99512,0,1,1,0,0
25463730,5.01445,0,1,1,0,0
25763736,5.01445,0,1,1,0,0
26063732,4.99673,0,1,1,0,0
26363729,5.01606,0,1,1,0,0
26663729,5.02734,0,1,1,0,0
26963772,4.99512,0,1,1,0,0
27263730,5.02251,0,1,1,0,0
27563729,5.01929,0,1,1,0,0
27873730,4.99189,0,1,1,0,0
28173759,5.01606,0,1,1,0,0
28473729,5.0209,0,1,1,0,0
28773730,4.98867,0,1,1,0,0
29073730,5.01929,0,1,1,0,0
29373730,5.01445,0,1,1,0,0
29673730,4.98545,0,1,1,0,0
29973731,5.01768,0,1,1,0,0
30273730,5.01929,0,1,1,0,0
30573730,4.98545,0,1,1,0,0
30883756,5.01768,0,1,1,0,0
31183730,5.01284,0,1,1,0,0
31483729,5.03218,0,1,1,0,0
31783729,5.01768,0,1,1,0,0
32083751,5.01929,0,1,1,0,0
32383729,5.02895,0,1,1,0,0
32683729,5.01768,0,1,1,0,0
32983771,5.01445,0,1,1,0,0
33283729,5.02573,0,1,1,0,0
33583729,5.02251,0,1,1,0,0
33883777,5.01445,0,1,1,0,0
34193767,5.01284,0,1,1,0,0
34493729,5.01768,0,1,1,0,0
34793730,4.98545,0,1,1,0,0
35093730,5.01445,0,1,1,0,0
35393730,5.01445,0,1,1,0,0
35693730,4.99351,0,1,1,0,0
35993730,5.01445,0,1,1,0,0
36293731,5.01123,0,1,1,0,0
36593733,4.99512,0,1,1,0,0
36903730,5.01445,0,1,1,0,0
37203732,5.01445,0,1,1,0,0
37503733,4.99512,0,1,1,0,0
37803738,5.02251,0,1,1,0,0
38103732,5.01123,0,1,1,0,0
38403730,5.00156,0,1,1,0,0
38703730,5.01445,0,1,1,0,0
39003730,5.02734,0,1,1,0,0
39303729,4.98545,0,1,1,0,0
39603730,5.00479,0,1,1,0,0
39913733,5.01606,0,1,1,0,0
40213732,5.02251,0,1,1,0,0
40513733,5.01768,0,1,1,0,0
40813729,5.01929,0,1,1,0,0
41113729,5.01445,0,1,1,0,0
41413731,5.0064,0,1,1,0,0
41713729,5.01123,0,1,1,0,0
42013730,5.0209,0,1,1,0,0
42313729,5.01445,0,1,1,0,0
42613730,5.01123,0,1,1,0,0
42923776,5.0209,0,1,1,0,0
43223729,5.02412,0,1,1,0,0
43523729,4.99028,0,1,1,0,0
43823729,5.02251,0,1,1,0,0
44123734,5.01445,0,1,1,0,0
44423732,4.99028,0,1,1,0,0
44723734,5.0209,0,1,1,0,0
45023777,5.01123,0,1,1,0,0
45323734,4.98867,0,1,1,0,0
45633730,5.01606,0,1,1,0,0
45933730,5.01123,0,1,1,0,0
46233729,4.98223,0,1,1,0,0
46533730,5.01606,0,1,1,0,0
46833729,5.01123,0,1,1,0,0
47133729,4.99834,0,1,1,0,0
47433730,5.01929,0,1,1,0,0
47733729,5.01445,0,1,1,0,0
48043734,5.01606,0,1,1,0,0
48343729,5.01445,0,1,1,0,0
48643735,5.01123,0,1,1,0,0
48943774,5.00479,0,1,1,0,0
49243730,5.02251,0,1,1,0,0
49543730,5.00962,0,1,1,0,0
49843730,5.02412,0,1,1,0,0
50143731,5.01284,0,1,1,0,0
50443730,5.01123,0,1,1,0,0
50743732,5.01445,0,1,1,0,0
51053729,5.01123,0,1,1,0,0
51353729,4.99189,0,1,1,0,0
51653729,5.01606,0,1,1,0,0
51953730,5.01123,0,1,1,0,0
52253759,4.99673,0,1,1,0,0
52553730,5.01284,0,1,1,0,0
52853730,5.01445,0,1,1,0,0
53153730,5.00156,0,1,1,0,0
53453730,5.01768,0,1,1,0,0
53763729,5.01445,0,1,1,0,0
54063730,4.99834,0,1,1,0,0
