timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
10091115,0.000770104,-0.00052881,-0.00137101,-0.54221,-0.00472948,-0.00113349,0.840229
10131122,-0.00215247,0.00237955,-0.00566367,-0.541905,-0.00472348,-0.00115447,0.840425
10147068,0.00518479,-0.0057138,-0.00319095,-0.541371,-0.00467552,-0.00106306,0.84077
10211081,-0.00713177,0.0099551,0.00604426,-0.541095,-0.0046135,-0.000673344,0.840949
10219069,-0.00273183,0.00726722,-0.000860645,-0.541033,-0.00463103,-0.000708673,0.840988
10231114,-0.00599816,0.0086641,-0.00289359,-0.5408,-0.00465786,-0.000761901,0.841138
10243115,0.000854188,-0.000394162,-0.00160903,-0.540738,-0.00466633,-0.000783336,0.841178
10251109,0.00525796,-0.0026547,-0.00184405,-0.540735,-0.004667,-0.000765223,0.841179
10263118,0.00732138,-0.00680487,-0.00288597,-0.540684,-0.0046598,-0.000708936,0.841213
10275119,0.00380039,-0.00204411,-0.00346284,-0.540445,-0.00465358,-0.000673756,0.841366
10283068,0.000976915,0.00199081,-0.00160256,-0.540358,-0.00465042,-0.000669978,0.841422
10295114,-0.00319465,0.00348156,-0.00145083,-0.539949,-0.004657,-0.000682599,0.841685
10303117,-0.00348827,0.00820837,-0.00289517,-0.539837,-0.00466496,-0.000705158,0.841757
10315114,-0.008488,0.0126085,-0.00304346,-0.539948,-0.00468642,-0.000773287,0.841685
10327116,-0.00633769,0.00810414,-0.00203385,-0.539935,-0.00471123,-0.00084375,0.841693
10339114,-0.00643429,0.00586949,-0.00468225,-0.539574,-0.00471586,-0.000886642,0.841924
10351114,-0.00716629,0.0109929,-0.00420893,-0.539595,-0.00473546,-0.000957132,0.841911
10359114,-0.00665645,0.0120544,-0.000361072,-0.539623,-0.00476136,-0.00100574,0.841893
10371117,-0.00258564,0.00498678,-0.000663959,-0.539668,-0.00478182,-0.00105481,0.841864
10383119,0.00240192,-0.000987723,-0.00226062,-0.539711,-0.00478208,-0.00106461,0.841836
10391069,0.00198823,-0.000889552,-0.00378983,-0.539676,-0.00478133,-0.00106174,0.841859
10403114,0.00305373,-0.000510931,-0.00441396,-0.539743,-0.00478205,-0.00104825,0.841816
