timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
9977919,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
10250077,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
10476155,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
10704680,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
10929663,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
11156103,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
11385578,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
11610712,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
11837001,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
12063818,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
12287561,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
12513422,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
12737165,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
12960546,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
13185345,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
13413958,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
13638196,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
13863452,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
14089074,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
